YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,01,03,03,50,339,1.7,3.6,3.37,12.90,9.95,288,1023.2,10.0,12.3,999.0,99.0,99.00
2010,01,03,04,50,338,2.2,3.2,3.65,12.90,9.90,273,1023.4,9.5,12.3,999.0,99.0,99.00
2010,01,03,05,50,355,1.5,2.6,3.51,12.12,9.98,276,1023.1,9.4,12.3,999.0,99.0,99.00
2010,01,03,06,50,358,0.3,1.1,3.14,12.90,9.33,281,1022.9,9.0,12.3,999.0,99.0,99.00
2010,01,03,07,50,34,0.6,1.4,2.97,12.90,9.29,264,1022.4,8.9,12.3,999.0,99.0,99.00
2010,01,03,08,50,80,2.3,3.3,3.02,12.12,9.14,280,1021.8,10.6,12.3,999.0,99.0,99.00
2010,01,03,09,50,90,3.5,4.6,2.73,12.90,9.29,292,1021.4,10.9,12.3,999.0,99.0,99.00
2010,01,03,10,50,99,2.4,3.6,2.31,12.90,8.73,290,1021.6,10.9,12.3,999.0,99.0,99.00
2010,01,03,11,50,85,2.8,4.1,2.57,12.90,9.30,279,1021.5,10.7,12.3,999.0,99.0,99.00
2010,01,03,12,50,88,3.7,4.8,2.28,12.90,8.79,286,1021.1,10.4,12.3,999.0,99.0,99.00
2010,01,03,13,50,93,4.7,6.0,2.15,12.12,8.73,286,1021.0,10.3,12.3,999.0,99.0,99.00
2010,01,03,14,50,97,4.6,5.4,2.10,12.12,8.52,301,1021.0,10.0,12.3,999.0,99.0,99.00
2010,01,03,15,50,98,6.9,8.5,2.06,11.43,7.87,292,1020.8,10.0,12.3,999.0,99.0,99.00
2010,01,03,16,50,97,7.3,8.6,1.88,12.12,7.23,291,1020.7,10.6,12.3,999.0,99.0,99.00
2010,01,03,17,50,87,6.5,7.8,1.94,12.12,7.34,282,1021.1,9.9,12.3,999.0,99.0,99.00
2010,01,03,18,50,96,6.8,7.8,1.93,10.81,7.46,296,1020.9,10.5,12.3,999.0,99.0,99.00
2010,01,03,19,50,89,6.3,7.9,1.82,11.43,7.38,283,1020.1,11.7,12.4,999.0,99.0,99.00
2010,01,03,20,50,80,5.7,7.0,1.82,10.81,7.22,296,1019.5,11.9,12.4,999.0,99.0,99.00
2010,01,03,21,50,62,4.0,5.0,1.84,11.43,8.13,277,1019.2,12.1,12.5,999.0,99.0,99.00
2010,01,03,22,50,66,3.2,3.9,1.72,10.81,7.95,291,1019.1,12.5,12.5,999.0,99.0,99.00
2010,01,03,23,50,41,2.9,3.8,1.63,10.81,8.22,285,1018.9,12.4,12.5,999.0,99.0,99.00
2010,01,04,00,50,34,2.7,3.3,1.61,10.81,8.58,277,1018.8,12.1,12.5,999.0,99.0,99.00
2010,01,04,01,50,81,5.6,6.5,1.60,10.81,8.79,300,1019.0,12.2,12.5,999.0,99.0,99.00
2010,01,04,02,50,92,5.7,6.9,1.50,10.81,6.97,298,1019.5,11.4,12.4,999.0,99.0,99.00
2010,01,04,03,50,79,6.5,7.7,1.46,10.81,7.01,294,1019.7,10.8,12.4,999.0,99.0,99.00
2010,01,04,04,50,88,7.8,9.3,1.42,10.81,6.19,294,1019.6,10.6,12.4,999.0,99.0,99.00
2010,01,04,05,50,86,7.7,8.9,1.33,10.81,5.69,292,1019.6,10.3,12.4,999.0,99.0,99.00
2010,01,04,06,50,84,7.6,9.3,1.36,10.81,5.65,310,1019.9,10.2,12.4,999.0,99.0,99.00
2010,01,04,07,50,83,9.6,11.3,1.31,10.00,5.40,307,1019.0,10.2,12.3,999.0,99.0,99.00
2010,01,04,08,50,80,7.2,8.5,1.29,10.81,5.42,290,1019.7,10.0,12.3,999.0,99.0,99.00
2010,01,04,09,50,84,9.8,11.3,1.26,10.81,5.37,296,1018.9,9.7,12.3,999.0,99.0,99.00
2010,01,04,10,50,90,9.2,10.9,1.23,10.81,4.51,307,1019.0,9.9,12.3,999.0,99.0,99.00
2010,01,04,11,50,94,9.4,11.2,1.26,11.43,4.63,84,1019.0,9.7,12.1,999.0,99.0,99.00
2010,01,04,12,50,88,9.5,11.7,1.30,12.12,4.82,270,1018.9,9.5,12.0,999.0,99.0,99.00
2010,01,04,13,50,86,10.1,11.8,1.31,11.43,4.65,293,1019.0,9.3,12.1,999.0,99.0,99.00
2010,01,04,14,50,91,10.0,11.7,1.35,3.85,4.55,99,1019.3,9.6,12.1,999.0,99.0,99.00
2010,01,04,15,50,97,10.7,12.6,1.42,9.09,4.85,278,1019.4,9.5,12.1,999.0,99.0,99.00
2010,01,04,16,50,97,9.4,10.9,1.47,9.09,4.95,274,1020.0,9.6,12.1,999.0,99.0,99.00
2010,01,04,17,50,95,9.0,10.4,1.47,17.39,5.36,269,1020.6,9.9,12.1,999.0,99.0,99.00
2010,01,04,18,50,86,7.9,9.8,1.36,17.39,5.95,267,1021.4,10.1,12.3,999.0,99.0,99.00
2010,01,04,19,50,90,7.3,9.0,1.46,17.39,5.83,79,1020.8,10.7,12.4,999.0,99.0,99.00
2010,01,04,23,50,94,5.9,7.2,1.71,16.00,7.82,304,1018.7,12.7,12.6,999.0,99.0,99.00
2010,01,05,00,50,85,4.4,5.6,1.79,16.00,8.55,283,1019.5,12.7,12.6,999.0,99.0,99.00
2010,01,05,01,50,79,5.5,6.6,1.84,16.00,8.64,294,1019.6,12.3,12.5,999.0,99.0,99.00
2010,01,05,02,50,72,1.7,2.6,1.85,16.00,8.66,290,1020.6,11.8,12.5,999.0,99.0,99.00
2010,01,05,03,50,87,3.7,4.8,1.84,14.81,8.59,306,1020.4,11.5,12.4,999.0,99.0,99.00
2010,01,05,04,50,101,1.1,1.8,1.73,14.81,8.84,296,1021.1,11.4,12.4,999.0,99.0,99.00
2010,01,05,05,50,65,2.9,4.6,1.92,16.00,8.85,288,1021.1,11.3,12.4,999.0,99.0,99.00
2010,01,05,06,50,25,1.4,2.4,1.84,14.81,8.51,274,1021.1,11.3,12.4,999.0,99.0,99.00
2010,01,05,07,50,68,3.8,4.7,1.68,14.81,8.33,288,1020.5,11.6,12.4,999.0,99.0,99.00
2010,01,05,08,50,93,6.5,8.1,1.58,16.00,7.83,296,1020.0,10.6,12.4,999.0,99.0,99.00
2010,01,05,09,50,90,7.7,9.3,1.59,16.00,6.74,301,1019.4,10.4,12.4,999.0,99.0,99.00
2010,01,05,10,50,89,6.0,7.2,1.65,16.00,6.84,297,1020.0,10.1,12.4,999.0,99.0,99.00
2010,01,05,11,50,90,3.6,4.6,1.68,16.00,7.32,284,1020.7,10.4,12.3,999.0,99.0,99.00
2010,01,05,12,50,72,5.7,6.8,1.59,16.00,7.78,284,1020.8,10.5,12.3,999.0,99.0,99.00
2010,01,05,13,50,86,6.5,7.8,1.32,14.81,6.59,278,1020.6,11.2,12.4,999.0,99.0,99.00
2010,01,05,14,50,84,5.1,6.1,1.37,14.81,6.68,278,1021.3,10.1,12.5,999.0,99.0,99.00
2010,01,05,15,50,101,7.2,8.3,1.42,14.81,6.72,290,1021.2,10.2,12.5,999.0,99.0,99.00
2010,01,05,16,50,100,5.0,5.9,1.37,14.81,7.00,305,1021.8,10.7,12.5,999.0,99.0,99.00
2010,01,05,17,50,92,6.2,7.4,1.47,14.81,7.23,293,1022.4,10.3,12.5,999.0,99.0,99.00
2010,01,05,18,50,88,5.8,6.9,1.30,14.81,6.48,298,1022.3,11.1,12.6,999.0,99.0,99.00
2010,01,05,19,50,87,6.0,7.0,1.40,13.79,6.55,300,1021.5,10.7,12.7,999.0,99.0,99.00
2010,01,05,20,50,89,6.1,7.5,1.26,13.79,6.50,294,1020.6,11.6,12.7,999.0,99.0,99.00
2010,01,05,21,50,102,4.9,5.9,1.27,13.79,6.65,313,1020.1,12.0,12.7,999.0,99.0,99.00
2010,01,05,22,50,137,2.1,3.0,1.29,13.79,7.03,289,1020.5,12.6,12.8,999.0,99.0,99.00
2010,01,05,23,50,262,0.9,1.5,1.24,12.90,7.57,296,1020.4,12.5,12.8,999.0,99.0,99.00
2010,01,06,00,50,360,1.0,1.3,1.18,13.79,7.65,267,1020.7,12.3,12.8,999.0,99.0,99.00
2010,01,06,01,50,2,1.9,2.5,1.33,13.79,8.44,272,1020.7,12.3,12.8,999.0,99.0,99.00
2010,01,06,02,50,321,1.7,2.5,1.21,12.90,8.33,276,1021.0,12.4,12.7,999.0,99.0,99.00
2010,01,06,03,50,38,1.3,1.7,1.23,17.39,8.28,263,1021.0,12.3,12.7,999.0,99.0,99.00
2010,01,06,04,50,53,1.4,1.8,1.21,13.79,8.16,277,1020.9,12.2,12.7,999.0,99.0,99.00
2010,01,06,05,50,43,0.2,0.7,1.23,17.39,8.14,269,1021.6,12.2,12.7,999.0,99.0,99.00
2010,01,06,06,50,91,2.2,2.8,1.22,13.79,8.16,289,1022.1,11.3,12.7,999.0,99.0,99.00
2010,01,06,07,50,54,0.9,1.6,1.33,17.39,8.13,283,1021.7,11.4,12.7,999.0,99.0,99.00
2010,01,06,08,50,180,0.0,0.2,1.29,16.00,8.05,274,1021.2,11.6,12.7,999.0,99.0,99.00
2010,01,06,09,50,147,0.2,0.6,1.29,16.00,8.20,284,1021.1,11.9,12.7,999.0,99.0,99.00
2010,01,06,10,50,296,3.4,4.0,1.28,16.00,8.41,275,1020.9,11.8,12.7,999.0,99.0,99.00
2010,01,06,11,50,337,2.8,3.4,1.38,16.00,8.68,260,1020.8,11.9,12.7,999.0,99.0,99.00
2010,01,06,12,50,327,2.7,3.2,1.21,14.81,8.54,273,1020.6,12.0,12.7,999.0,99.0,99.00
2010,01,06,13,50,348,1.9,2.4,1.30,14.81,8.73,277,1020.7,12.1,12.7,999.0,99.0,99.00
2010,01,06,14,50,93,3.7,4.7,1.23,14.81,8.71,268,1020.9,10.2,12.7,999.0,99.0,99.00
2010,01,06,15,50,116,3.3,4.2,1.31,14.81,8.49,292,1021.4,9.4,12.7,999.0,99.0,99.00
2010,01,06,16,50,97,5.6,6.7,1.32,14.81,7.51,288,1021.4,9.1,12.7,999.0,99.0,99.00
2010,01,06,17,50,96,6.3,7.7,1.38,14.81,7.09,296,1021.7,9.1,12.6,999.0,99.0,99.00
2010,01,06,18,50,98,6.9,8.1,1.49,14.81,7.12,289,1021.4,9.4,12.7,999.0,99.0,99.00
2010,01,06,19,50,100,6.2,7.2,1.43,14.81,7.16,284,1020.7,9.8,12.6,999.0,99.0,99.00
