YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2004,01,28,18,324,5.3,6.7,99.00,99.00,0.00,999,1025.5,11.8,12.2,999.0,99.0,99.00
2004,01,28,19,315,5.6,7.0,99.00,99.00,0.00,999,1026.3,11.9,12.2,999.0,99.0,99.00
2004,01,28,20,308,7.6,9.2,99.00,99.00,0.00,999,1026.7,11.9,12.2,999.0,99.0,99.00
2004,01,28,21,312,5.7,6.8,99.00,99.00,0.00,999,1025.7,11.8,12.3,999.0,99.0,99.00
2004,01,28,22,310,5.6,7.0,99.00,99.00,0.00,999,1025.3,12.0,12.3,999.0,99.0,99.00
2004,01,28,23,302,5.8,6.8,99.00,99.00,0.00,999,1024.6,12.0,12.3,999.0,99.0,99.00
2004,01,29,00,299,6.9,8.3,99.00,99.00,0.00,999,1024.0,12.1,12.3,999.0,99.0,99.00
2004,01,29,01,295,7.1,8.3,99.00,99.00,0.00,999,1023.6,12.0,12.3,999.0,99.0,99.00
2004,01,29,02,287,5.6,6.8,99.00,99.00,0.00,999,1023.9,12.0,12.3,999.0,99.0,99.00
2004,01,29,03,294,6.3,7.5,99.00,99.00,0.00,999,1024.1,12.1,12.3,999.0,99.0,99.00
2004,01,29,04,306,7.4,8.9,99.00,99.00,0.00,999,1024.1,12.1,12.3,999.0,99.0,99.00
2004,01,29,05,307,8.5,10.3,99.00,99.00,0.00,999,1024.0,12.3,12.3,999.0,99.0,99.00
2004,01,29,06,312,8.4,10.0,99.00,99.00,0.00,999,1023.9,12.3,12.4,999.0,99.0,99.00
2004,01,29,07,308,8.1,9.7,99.00,99.00,0.00,999,1023.8,12.3,12.4,999.0,99.0,99.00
2004,01,29,08,312,8.6,10.0,99.00,99.00,0.00,999,1023.8,12.1,12.3,999.0,99.0,99.00
2004,01,29,09,318,9.1,10.5,99.00,99.00,0.00,999,1023.6,12.1,12.3,999.0,99.0,99.00
2004,01,29,10,312,7.9,9.8,99.00,99.00,0.00,999,1023.4,12.0,12.3,999.0,99.0,99.00
2004,01,29,11,321,7.8,9.2,99.00,99.00,0.00,999,1023.6,12.1,12.3,999.0,99.0,99.00
2004,01,29,12,316,6.8,8.6,99.00,99.00,0.00,999,1023.0,11.8,12.3,999.0,99.0,99.00
2004,01,29,13,314,6.6,8.0,99.00,99.00,0.00,999,1023.1,11.6,12.3,999.0,99.0,99.00
2004,01,29,14,322,7.4,9.0,99.00,99.00,0.00,999,1023.4,11.7,12.3,999.0,99.0,99.00
2004,01,29,15,333,5.0,6.3,99.00,99.00,0.00,999,1023.5,11.5,12.3,999.0,99.0,99.00
2004,01,29,16,320,5.9,7.2,99.00,99.00,0.00,999,1023.8,11.6,12.3,999.0,99.0,99.00
2004,01,29,18,5,3.8,5.2,2.29,13.79,8.04,999,1024.9,11.4,12.3,999.0,99.0,99.00
2004,01,29,19,88,2.2,3.2,2.20,12.90,7.64,999,1025.3,10.5,12.3,999.0,99.0,99.00
2004,01,29,20,79,1.2,2.2,2.32,9.09,7.93,999,1025.1,10.4,12.3,999.0,99.0,99.00
2004,01,29,21,81,0.2,0.9,2.53,12.90,8.12,999,1024.5,10.4,12.3,999.0,99.0,99.00
2004,01,29,22,306,3.1,4.0,2.50,13.79,8.54,999,1023.7,11.3,12.4,999.0,99.0,99.00
2004,01,29,23,305,4.0,5.1,2.60,12.90,9.06,999,1023.0,11.5,12.4,999.0,99.0,99.00
2004,01,30,00,299,5.6,7.0,2.72,16.00,9.57,999,1022.5,11.8,12.4,999.0,99.0,99.00
2004,01,30,01,299,6.6,8.2,2.57,13.79,8.97,999,1022.2,11.8,12.3,999.0,99.0,99.00
2004,01,30,02,302,7.6,9.6,2.67,16.00,9.17,999,1022.1,12.1,12.4,999.0,99.0,99.00
2004,01,30,03,321,5.6,7.4,2.64,13.79,8.63,999,1022.0,11.9,12.3,999.0,99.0,99.00
2004,01,30,04,314,5.7,8.4,2.54,13.79,8.67,999,1021.8,11.8,12.3,999.0,99.0,99.00
2004,01,30,05,291,3.8,6.1,2.74,14.81,9.23,999,1022.1,11.8,12.3,999.0,99.0,99.00
2004,01,30,06,288,4.4,6.5,2.95,14.81,9.76,999,1022.4,11.3,12.3,999.0,99.0,99.00
2004,01,30,07,230,1.1,1.9,2.85,12.12,10.01,999,1021.8,11.0,12.3,999.0,99.0,99.00
2004,01,30,08,227,2.7,4.6,2.67,14.81,9.71,999,1022.3,10.9,12.3,999.0,99.0,99.00
2004,01,30,09,192,2.4,3.8,2.76,16.00,10.15,999,1021.6,10.6,12.3,999.0,99.0,99.00
2004,01,30,10,237,4.7,6.3,2.68,14.81,9.87,999,1021.9,10.7,12.3,999.0,99.0,99.00
2004,01,30,11,226,4.1,5.3,2.58,14.81,9.64,999,1021.7,10.8,12.3,999.0,99.0,99.00
2004,01,30,12,221,4.9,6.2,2.83,13.79,9.66,999,1020.7,11.6,12.3,999.0,99.0,99.00
2004,01,30,13,294,10.2,12.9,2.46,13.79,8.68,999,1020.5,11.7,12.3,999.0,99.0,99.00
2004,01,30,14,324,8.6,10.7,2.54,14.81,7.45,999,1021.0,11.5,12.3,999.0,99.0,99.00
2004,01,30,15,314,8.1,11.0,2.84,13.79,7.69,999,1021.2,11.8,12.3,999.0,99.0,99.00
2004,01,30,16,312,8.7,10.6,2.59,13.79,6.91,999,1021.4,12.1,12.3,999.0,99.0,99.00
2004,01,30,17,322,8.9,10.4,2.53,14.81,6.50,999,1021.7,12.0,12.3,999.0,99.0,99.00
2004,01,30,18,319,8.1,10.0,2.79,13.79,7.04,999,1022.3,11.7,12.3,999.0,99.0,99.00
2004,01,30,19,323,8.2,9.7,2.71,12.90,6.87,999,1022.6,11.7,12.3,999.0,99.0,99.00
2004,01,30,20,322,7.7,9.3,2.79,12.90,7.16,999,1022.4,11.6,12.4,999.0,99.0,99.00
2004,01,30,21,314,8.5,10.3,2.81,13.79,7.24,999,1021.4,11.4,12.4,999.0,99.0,99.00
2004,01,30,22,310,10.0,12.0,3.01,14.81,7.26,999,1020.6,11.3,12.4,999.0,99.0,99.00
2004,01,30,23,313,10.9,13.3,3.18,11.43,7.29,999,1020.2,11.2,12.4,999.0,99.0,99.00
2004,01,31,00,314,11.7,14.3,3.79,11.43,7.59,999,1020.3,11.2,12.3,999.0,99.0,99.00
2004,01,31,01,312,11.4,13.9,4.02,13.79,7.80,999,1020.5,11.2,12.3,999.0,99.0,99.00
2004,01,31,02,319,11.0,13.6,4.09,12.90,7.89,999,1020.1,11.1,12.3,999.0,99.0,99.00
2004,01,31,03,322,11.0,13.3,4.10,12.90,8.07,999,1020.1,11.0,12.3,999.0,99.0,99.00
2004,01,31,04,322,10.9,13.1,3.89,12.12,7.85,999,1020.4,10.9,12.3,999.0,99.0,99.00
2004,01,31,05,317,11.5,13.9,3.79,11.43,7.54,999,1019.9,11.0,12.3,999.0,99.0,99.00
2004,01,31,06,318,12.5,15.1,3.68,13.79,7.47,999,1020.2,10.9,12.3,999.0,99.0,99.00
2004,01,31,07,325,12.1,14.9,3.73,10.81,7.23,999,1020.6,10.9,12.3,999.0,99.0,99.00
2004,01,31,08,326,13.1,15.5,3.65,11.43,7.30,999,1020.5,10.5,12.3,999.0,99.0,99.00
2004,01,31,09,328,12.7,14.8,3.64,11.43,6.93,999,1020.2,10.4,12.3,999.0,99.0,99.00
2004,01,31,10,325,13.1,16.3,3.43,11.43,6.70,999,1020.0,10.4,12.3,999.0,99.0,99.00
2004,01,31,11,324,12.1,14.6,3.63,12.12,7.29,999,1019.8,10.2,12.3,999.0,99.0,99.00
2004,01,31,12,323,12.2,14.8,3.50,12.90,7.22,999,1019.8,10.2,12.3,999.0,99.0,99.00
2004,01,31,13,328,11.9,13.8,3.46,11.43,6.92,999,1018.9,10.1,12.3,999.0,99.0,99.00
2004,01,31,14,323,12.1,14.4,3.37,12.12,6.93,999,1019.1,10.1,12.2,999.0,99.0,99.00
2004,01,31,15,319,12.1,14.0,3.27,12.90,6.99,999,1019.3,10.0,12.2,999.0,99.0,99.00
2004,01,31,16,323,12.3,14.6,3.21,12.90,6.96,999,1019.9,10.0,12.2,999.0,99.0,99.00
2004,01,31,17,329,11.2,13.4,2.87,12.12,6.76,999,1020.2,10.1,12.2,999.0,99.0,99.00
2004,01,31,18,320,10.7,13.1,2.88,12.12,6.95,999,1020.4,10.1,12.2,999.0,99.0,99.00
2004,01,31,19,322,10.5,12.2,3.05,12.90,7.20,999,1020.8,10.4,12.3,999.0,99.0,99.00
2004,01,31,20,314,9.0,10.7,3.11,12.90,7.58,999,1020.4,10.6,12.3,999.0,99.0,99.00
2004,01,31,21,305,10.2,11.9,2.91,10.81,7.31,999,1019.4,10.8,12.3,999.0,99.0,99.00
2004,01,31,22,305,10.5,13.3,3.07,11.43,7.12,999,1018.9,10.9,12.3,999.0,99.0,99.00
