YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2002,02,12,00,327,4.7,5.8,2.60,14.29,10.91,999,1025.7,11.9,999.0,999.0,99.0,99.00
2002,02,12,01,321,5.3,6.8,3.00,14.29,10.75,999,1025.3,11.3,999.0,999.0,99.0,99.00
2002,02,12,02,316,4.0,5.3,2.73,14.29,10.42,999,1025.0,11.6,999.0,999.0,99.0,99.00
2002,02,12,03,324,5.6,7.1,3.27,14.29,11.29,999,1025.0,11.2,999.0,999.0,99.0,99.00
2002,02,12,04,299,4.7,6.2,2.85,14.29,10.23,999,1024.9,11.0,999.0,999.0,99.0,99.00
2002,02,12,05,322,4.0,5.6,2.80,14.29,10.35,999,1024.4,11.0,999.0,999.0,99.0,99.00
2002,02,12,06,322,3.6,5.3,3.14,14.29,10.47,999,1023.8,11.0,999.0,999.0,99.0,99.00
2002,02,12,07,311,3.0,3.9,3.03,14.29,10.46,999,1023.7,10.8,999.0,999.0,99.0,99.00
2002,02,12,08,320,4.8,6.1,2.70,14.29,9.80,999,1023.5,10.7,999.0,999.0,99.0,99.00
2002,02,12,09,315,5.9,7.3,2.31,14.29,8.89,999,1023.4,10.7,999.0,999.0,99.0,99.00
2002,02,12,10,326,5.9,7.3,2.42,14.29,9.19,999,1023.2,10.6,999.0,999.0,99.0,99.00
2002,02,12,11,346,3.9,4.8,2.26,14.29,8.71,999,1022.5,10.5,999.0,999.0,99.0,99.00
2002,02,12,12,321,3.6,4.3,2.10,14.29,8.54,999,1022.1,10.3,999.0,999.0,99.0,99.00
2002,02,12,13,311,5.0,6.5,1.93,14.29,8.56,999,1022.0,10.3,999.0,999.0,99.0,99.00
2002,02,12,14,351,4.3,5.2,2.20,14.29,9.29,999,1021.4,10.1,999.0,999.0,99.0,99.00
2002,02,12,15,341,3.8,4.6,1.96,14.29,9.23,999,1021.4,10.1,10.5,999.0,99.0,99.00
2002,02,12,16,320,3.5,4.6,2.15,14.29,9.55,999,1021.8,10.2,10.5,999.0,99.0,99.00
2002,02,12,17,321,5.8,7.3,2.21,14.29,9.67,999,1022.0,9.4,10.5,999.0,99.0,99.00
2002,02,12,18,302,5.5,7.2,2.32,14.29,9.80,999,1021.9,9.2,10.6,999.0,99.0,99.00
2002,02,12,19,320,5.4,6.7,2.45,14.29,9.55,999,1021.2,9.1,10.6,999.0,99.0,99.00
2002,02,12,20,317,4.9,6.0,2.25,12.50,9.32,999,1021.3,9.1,10.6,999.0,99.0,99.00
2002,02,12,21,314,5.9,7.3,2.28,12.50,9.37,999,1020.8,9.2,10.7,999.0,99.0,99.00
2002,02,12,22,326,6.2,7.5,2.09,12.50,8.62,999,1019.8,10.2,10.7,999.0,99.0,99.00
2002,02,12,23,303,6.9,8.5,2.27,12.50,8.65,999,1019.3,10.0,10.7,999.0,99.0,99.00
2002,02,13,00,301,6.3,8.1,2.14,12.50,8.33,999,1018.8,10.2,10.7,999.0,99.0,99.00
2002,02,13,01,312,5.7,6.7,2.26,12.50,8.55,999,1018.6,10.4,10.7,999.0,99.0,99.00
2002,02,13,02,301,7.2,8.6,2.03,12.50,8.15,999,1018.4,10.2,10.6,999.0,99.0,99.00
2002,02,13,03,318,7.7,9.0,2.16,12.50,8.07,999,1018.5,10.1,10.6,999.0,99.0,99.00
2002,02,13,04,320,7.0,8.8,1.82,12.50,6.83,999,1019.0,9.8,10.5,999.0,99.0,99.00
2002,02,13,05,298,6.8,8.8,1.78,12.50,6.91,999,1019.1,9.6,10.5,999.0,99.0,99.00
2002,02,13,06,314,5.8,7.1,1.72,12.50,6.59,999,1019.0,9.7,10.5,999.0,99.0,99.00
2002,02,13,07,306,5.6,6.9,1.69,12.50,6.94,999,1019.4,9.9,10.5,999.0,99.0,99.00
2002,02,13,08,310,5.4,7.0,1.62,12.50,6.92,999,1019.1,10.0,10.5,999.0,99.0,99.00
2002,02,13,09,323,4.9,6.0,1.53,11.11,7.03,999,1018.7,10.2,10.4,999.0,99.0,99.00
2002,02,13,10,329,4.0,5.1,1.63,11.11,7.77,999,1018.3,10.2,10.4,999.0,99.0,99.00
2002,02,13,11,291,2.7,3.6,1.69,12.50,7.92,999,1018.2,10.3,10.4,999.0,99.0,99.00
2002,02,13,12,326,3.8,4.6,1.62,11.11,8.23,999,1017.2,10.3,10.4,999.0,99.0,99.00
2002,02,13,13,329,2.7,3.8,1.70,20.00,8.48,999,1017.4,10.2,10.4,999.0,99.0,99.00
2002,02,13,14,295,3.9,4.8,1.80,25.00,9.60,999,1018.2,10.4,10.4,999.0,99.0,99.00
2002,02,13,15,340,4.7,5.5,1.89,20.00,9.68,999,1017.9,10.4,10.4,999.0,99.0,99.00
2002,02,13,16,333,1.9,2.7,1.71,20.00,8.99,999,1018.7,10.2,10.5,999.0,99.0,99.00
2002,02,13,17,313,2.2,3.0,2.13,20.00,10.49,999,1019.4,10.3,10.5,999.0,99.0,99.00
