YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
92,01,01,01,090,06.8,08.7,02.20,20.00,08.80,999,1020.9,13.1,12.6,999.0,99.0
92,01,01,02,110,07.5,09.2,02.80,20.00,10.70,999,1020.9,12.9,12.6,999.0,99.0
92,01,01,03,108,07.8,09.8,02.80,20.00,10.10,999,1021.1,12.3,12.6,999.0,99.0
92,01,01,04,097,07.1,08.9,03.10,20.00,10.60,999,1021.4,12.3,12.6,999.0,99.0
92,01,01,05,095,06.5,08.1,02.90,16.70,10.50,999,1021.6,12.4,12.6,999.0,99.0
92,01,01,06,101,05.6,06.9,03.10,16.70,10.40,999,1021.9,11.9,12.6,999.0,99.0
92,01,01,07,096,05.5,06.9,03.40,16.70,11.60,999,1022.0,12.0,12.6,999.0,99.0
92,01,01,08,081,06.4,07.7,03.50,16.70,11.60,999,1021.6,11.8,12.6,999.0,99.0
92,01,01,09,089,06.4,07.7,02.80,16.70,10.30,999,1021.3,11.1,12.6,999.0,99.0
92,01,01,10,086,07.0,08.7,03.90,16.70,11.50,999,1021.4,10.7,12.5,999.0,99.0
92,01,01,11,080,07.1,08.5,04.50,16.70,12.30,999,1021.5,10.7,12.5,999.0,99.0
92,01,01,15,088,07.4,09.1,03.30,16.70,10.00,999,1021.5,11.2,12.5,999.0,99.0
92,01,01,16,095,07.9,10.2,03.20,16.70,09.70,999,1021.0,10.4,12.5,999.0,99.0
92,01,01,17,089,07.5,09.2,02.90,16.70,08.80,999,1021.2,10.1,12.5,999.0,99.0
92,01,01,18,097,07.0,08.2,03.00,16.70,09.40,999,1022.1,10.1,12.5,999.0,99.0
92,01,01,19,085,06.3,07.6,02.80,16.70,09.90,999,1022.6,10.2,12.5,999.0,99.0
92,01,01,20,081,05.8,06.8,02.90,16.70,10.40,999,1021.8,11.1,12.5,999.0,99.0
92,01,01,21,072,05.5,06.7,03.00,16.70,10.80,999,1021.4,12.0,12.6,999.0,99.0
92,01,01,22,076,06.1,07.3,02.70,14.30,10.20,999,1020.4,12.4,12.6,999.0,99.0
92,01,01,23,077,05.3,06.6,03.20,16.70,11.40,999,1020.3,12.9,12.6,999.0,99.0
92,01,02,00,077,05.9,06.9,02.80,16.70,11.00,999,1019.7,13.2,12.6,999.0,99.0
92,01,02,01,078,04.2,05.3,03.20,14.30,10.90,999,1019.2,13.0,12.6,999.0,99.0
92,01,02,02,097,04.7,05.9,03.10,16.70,10.90,999,1019.4,12.8,12.6,999.0,99.0
92,01,02,03,066,03.6,04.9,03.10,14.30,10.70,999,1020.1,12.1,12.6,999.0,99.0
92,01,02,04,051,03.8,04.9,02.90,14.30,10.70,999,1021.0,12.7,12.5,999.0,99.0
92,01,02,05,026,02.8,03.5,02.80,14.30,10.20,999,1020.9,12.0,12.5,999.0,99.0
92,01,02,06,041,02.8,03.5,02.80,14.30,10.20,999,1020.7,12.0,12.5,999.0,99.0
92,01,02,07,104,03.7,04.7,02.80,14.30,10.60,999,1020.3,12.0,12.6,999.0,99.0
92,01,02,08,094,05.5,06.5,02.70,14.30,10.20,999,1019.9,11.1,12.6,999.0,99.0
92,01,02,09,067,06.0,07.2,02.60,14.30,10.10,999,1019.9,10.4,12.6,999.0,99.0
92,01,02,10,070,06.4,07.7,02.40,14.30,09.60,999,1019.4,11.2,12.7,999.0,99.0
92,01,02,11,071,08.0,09.3,02.60,14.30,09.90,999,1019.6,09.8,12.7,999.0,99.0
92,01,02,12,078,06.6,07.9,02.40,12.50,08.60,999,1019.1,09.4,12.8,999.0,99.0
92,01,02,13,076,06.8,08.2,02.40,14.30,08.90,999,1018.3,09.7,12.8,999.0,99.0
92,01,02,14,058,07.6,08.9,02.70,14.30,09.40,999,1018.0,09.6,12.7,999.0,99.0
92,01,02,15,072,07.5,08.9,02.40,14.30,09.10,999,1018.0,10.5,12.8,999.0,99.0
92,01,02,16,063,05.5,06.5,02.50,14.30,09.30,999,1018.2,10.0,12.8,999.0,99.0
92,01,02,17,087,05.8,07.3,02.30,14.30,08.90,999,1018.0,09.9,12.7,999.0,99.0
92,01,02,18,082,07.1,09.2,02.40,12.50,08.80,999,1017.9,10.2,12.8,999.0,99.0
92,01,02,19,093,08.5,10.5,02.30,12.50,08.40,999,1017.3,10.6,12.8,999.0,99.0
92,01,02,20,075,07.1,08.9,02.30,10.00,08.10,999,1016.6,10.8,12.8,999.0,99.0
92,01,02,21,057,06.9,08.5,02.00,10.00,08.20,999,1015.5,11.4,12.7,999.0,99.0
92,01,02,22,065,07.3,08.7,02.10,12.50,08.50,999,1013.9,12.1,12.7,999.0,99.0
92,01,02,23,069,06.2,07.5,02.00,10.00,08.40,999,1013.2,12.7,12.8,999.0,99.0
92,01,03,00,083,05.6,06.5,01.90,12.50,08.00,999,1012.7,13.1,12.8,999.0,99.0
92,01,03,01,094,06.0,07.1,01.80,12.50,08.60,999,1012.5,13.2,12.7,999.0,99.0
92,01,03,02,105,04.2,05.4,01.90,12.50,08.30,999,1012.5,13.0,12.7,999.0,99.0
92,01,03,03,043,04.4,05.5,02.10,12.50,09.00,999,1012.5,11.9,12.7,999.0,99.0
92,01,03,04,064,05.7,06.8,01.90,11.10,08.90,999,1012.2,12.3,12.7,999.0,99.0
92,01,03,05,055,05.5,06.4,01.70,12.50,08.50,999,1012.0,11.4,12.7,999.0,99.0
92,01,03,06,072,07.2,08.1,01.90,12.50,08.80,999,1011.6,10.8,12.7,999.0,99.0
92,01,03,07,077,06.6,07.6,02.00,12.50,08.50,999,1011.6,10.2,12.7,999.0,99.0
92,01,03,08,089,06.8,07.7,02.10,12.50,08.60,999,1011.2,10.5,12.7,999.0,99.0
92,01,03,09,089,07.0,08.3,02.00,12.50,08.50,999,1010.9,10.5,12.7,999.0,99.0
92,01,03,10,092,06.1,06.9,02.00,12.50,08.80,999,1010.4,10.1,12.7,999.0,99.0
92,01,03,11,101,08.7,10.3,02.10,12.50,08.70,999,1009.9,10.3,12.7,999.0,99.0
92,01,03,12,103,08.1,09.7,02.10,12.50,07.70,999,1009.4,09.6,12.7,999.0,99.0
92,01,03,13,104,08.0,09.7,01.90,12.50,07.40,999,1008.8,10.2,12.7,999.0,99.0
92,01,03,14,109,07.1,08.7,02.20,12.50,08.50,999,1008.5,10.7,12.6,999.0,99.0
92,01,03,15,101,05.0,06.3,02.40,14.30,09.10,999,1009.5,09.8,12.6,999.0,99.0
92,01,03,16,100,06.2,07.6,02.40,12.50,09.30,999,1009.2,10.1,12.6,999.0,99.0
92,01,03,17,102,07.3,09.0,02.30,12.50,08.50,999,1009.1,10.4,12.7,999.0,99.0
92,01,03,18,107,05.8,07.5,02.40,14.30,08.80,999,1009.7,10.3,12.7,999.0,99.0
92,01,03,19,107,06.8,08.7,02.30,14.30,09.10,999,1010.1,10.8,12.7,999.0,99.0
92,01,03,20,107,06.5,07.7,02.40,14.30,09.20,999,1009.2,11.0,12.7,999.0,99.0
92,01,03,21,137,04.6,06.6,02.20,14.30,09.60,999,1008.7,12.1,12.7,999.0,99.0
92,01,03,22,166,05.1,06.5,02.20,16.70,09.40,999,1008.7,13.2,12.8,999.0,99.0
92,01,03,23,163,05.6,06.8,02.20,14.30,09.20,999,1008.7,13.0,12.8,999.0,99.0
92,01,04,00,191,04.9,06.1,02.10,11.10,09.30,999,1009.2,12.6,12.7,999.0,99.0
92,01,04,01,186,04.6,05.6,02.40,14.30,09.90,999,1009.3,12.8,12.7,999.0,99.0
92,01,04,02,211,04.1,05.0,02.40,14.30,10.00,999,1009.3,12.6,12.7,999.0,99.0
92,01,04,03,210,03.4,04.9,02.30,14.30,09.90,999,1009.9,12.7,12.7,999.0,99.0
92,01,04,04,192,04.4,05.8,02.30,14.30,09.50,999,1010.1,11.6,12.7,999.0,99.0
92,01,04,05,191,07.0,08.3,02.40,14.30,09.20,999,1010.4,10.3,12.6,999.0,99.0
92,01,04,06,186,07.3,09.0,02.60,14.30,09.30,999,1010.7,11.3,12.6,999.0,99.0
92,01,04,07,182,08.5,10.1,02.50,14.30,08.20,999,1010.7,12.0,12.6,999.0,99.0
92,01,04,08,177,07.9,09.0,02.80,14.30,08.90,999,1010.5,11.0,12.6,999.0,99.0
92,01,04,09,189,07.2,08.2,03.00,14.30,09.10,999,1010.3,11.9,12.6,999.0,99.0
92,01,04,10,184,06.6,07.7,03.10,14.30,09.20,999,1010.3,12.1,12.6,999.0,99.0
92,01,04,11,198,05.1,06.1,02.90,12.50,09.10,999,1010.1,12.2,12.6,999.0,99.0
92,01,04,12,177,06.8,07.9,02.90,14.30,09.50,999,1009.5,11.7,12.6,999.0,99.0
92,01,04,13,170,05.1,06.1,03.20,12.50,10.20,999,1009.1,12.0,12.6,999.0,99.0
92,01,04,14,172,05.2,06.4,03.10,14.30,10.00,999,1009.5,11.9,12.6,999.0,99.0
92,01,04,15,165,05.9,07.0,02.90,16.70,09.60,999,1009.4,12.7,12.6,999.0,99.0
92,01,04,16,175,08.2,09.7,03.20,16.70,09.90,999,1009.3,12.7,12.6,999.0,99.0
92,01,04,17,164,08.5,10.5,03.20,16.70,09.30,999,1009.0,12.5,12.6,999.0,99.0
92,01,04,18,155,11.0,13.5,03.60,16.70,09.20,999,1008.8,12.1,12.6,999.0,99.0
92,01,04,19,159,10.1,12.5,03.30,14.30,08.10,999,1008.6,12.3,12.6,999.0,99.0
92,01,04,20,154,10.8,13.5,03.30,14.30,08.00,999,1006.9,12.6,12.6,999.0,99.0
92,01,04,21,152,12.2,14.8,03.30,14.30,07.50,999,1005.3,12.5,12.6,999.0,99.0
