YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,01,03,06,98,4.8,6.8,2.50,16.67,8.77,999,1022.4,11.8,12.9,999.0,99.0,99.00
2003,01,03,07,99,4.6,5.9,2.37,11.11,8.48,999,1022.5,12.1,12.9,999.0,99.0,99.00
2003,01,03,08,80,6.3,7.8,2.46,14.29,9.27,999,1021.9,11.6,12.9,999.0,99.0,99.00
2003,01,03,09,84,5.5,7.5,2.52,14.29,9.15,999,1022.1,11.3,12.9,999.0,99.0,99.00
2003,01,03,10,81,7.8,9.0,2.25,14.29,8.16,999,1021.1,11.2,12.9,999.0,99.0,99.00
2003,01,03,11,75,6.6,8.5,2.54,14.29,8.63,999,1022.1,11.1,12.9,999.0,99.0,99.00
2003,01,03,12,81,6.8,8.5,2.63,12.50,8.81,999,1022.0,11.4,12.8,999.0,99.0,99.00
2003,01,03,13,80,6.3,7.8,3.31,12.50,9.74,999,1022.1,11.5,12.8,999.0,99.0,99.00
2003,01,03,14,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0,99.00
2003,01,03,15,99,7.4,11.2,3.24,12.50,9.50,999,1021.4,12.0,12.8,999.0,99.0,99.00
2003,01,03,16,86,5.8,8.6,3.38,12.50,9.38,999,1021.9,11.5,12.8,999.0,99.0,99.00
2003,01,03,17,62,5.8,7.2,3.08,11.11,9.08,999,1022.3,11.3,12.8,999.0,99.0,99.00
2003,01,03,18,77,8.1,10.7,3.58,11.11,9.35,999,1022.2,11.4,12.8,999.0,99.0,99.00
2003,01,03,19,82,6.1,8.8,3.39,11.11,9.08,999,1022.6,11.2,12.8,999.0,99.0,99.00
2003,01,03,20,69,6.3,8.4,3.26,12.50,9.26,999,1021.8,11.6,12.9,999.0,99.0,99.00
2003,01,03,21,77,5.3,7.0,3.12,12.50,9.54,999,1021.0,12.2,12.9,999.0,99.0,99.00
2003,01,03,22,89,4.7,6.5,2.91,11.11,9.34,999,1020.6,12.5,13.0,999.0,99.0,99.00
2003,01,03,23,82,4.6,6.3,3.00,14.29,9.72,999,1020.1,12.9,13.0,999.0,99.0,99.00
2003,01,04,00,102,2.8,4.3,2.67,12.50,8.87,999,1020.1,13.1,13.0,999.0,99.0,99.00
2003,01,04,01,200,0.9,1.6,2.76,12.50,9.61,999,1020.3,12.7,13.0,999.0,99.0,99.00
2003,01,04,02,191,2.3,2.9,2.61,14.29,9.49,999,1020.0,12.6,13.0,999.0,99.0,99.00
2003,01,04,03,226,2.3,3.3,2.65,14.29,9.27,999,1020.4,12.5,13.0,999.0,99.0,99.00
2003,01,04,04,228,1.2,2.1,2.71,14.29,9.66,999,1020.6,12.5,13.0,999.0,99.0,99.00
2003,01,04,05,216,1.1,2.1,3.18,14.29,10.02,999,1020.9,12.6,13.0,999.0,99.0,99.00
2003,01,04,06,261,2.2,3.6,2.79,14.29,9.64,999,1021.2,12.4,13.0,999.0,99.0,99.00
2003,01,04,07,65,0.5,2.0,3.00,14.29,9.98,999,1021.3,11.4,12.9,999.0,99.0,99.00
2003,01,04,08,280,0.8,1.9,3.36,14.29,10.46,999,1021.1,11.4,12.9,999.0,99.0,99.00
2003,01,04,09,186,0.3,1.6,3.35,14.29,10.42,999,1021.5,11.6,12.8,999.0,99.0,99.00
2003,01,04,10,102,1.4,3.2,3.65,14.29,10.89,999,1022.2,12.0,12.8,999.0,99.0,99.00
2003,01,04,11,101,4.0,7.0,3.70,14.29,11.05,999,1021.9,11.9,12.8,999.0,99.0,99.00
