YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
95,01,01,00,074,10.9,13.1,03.00,14.30,07.10,999,1016.9,08.8,11.4,999.0,99.0
95,01,01,01,077,10.1,12.0,03.00,14.30,06.90,999,1016.9,09.0,11.4,999.0,99.0
95,01,01,02,081,10.2,12.5,03.10,14.30,07.20,999,1017.0,09.1,11.4,999.0,99.0
95,01,01,03,079,10.4,13.6,03.10,14.30,07.30,999,1017.3,09.1,11.4,999.0,99.0
95,01,01,04,078,11.2,13.4,03.00,14.30,07.10,999,1017.1,09.3,11.4,999.0,99.0
95,01,01,05,078,11.7,14.6,03.40,14.30,07.40,999,1017.0,09.2,11.4,999.0,99.0
95,01,01,06,073,11.3,13.9,03.30,14.30,07.50,999,1017.2,09.6,11.4,999.0,99.0
95,01,01,07,076,12.2,14.8,03.10,14.30,07.20,999,1016.8,09.0,11.4,999.0,99.0
95,01,01,08,077,12.2,14.3,02.90,14.30,06.70,999,1016.5,09.0,11.4,999.0,99.0
95,01,01,09,077,12.0,14.6,02.80,16.70,06.70,999,1016.6,09.1,11.4,999.0,99.0
95,01,01,10,072,11.9,14.4,02.60,16.70,06.60,999,1016.6,09.0,11.3,999.0,99.0
95,01,01,11,069,11.1,13.5,02.60,14.30,06.60,999,1017.1,08.7,11.3,999.0,99.0
95,01,01,12,070,11.1,14.2,02.90,14.30,06.80,999,1017.1,08.7,11.3,999.0,99.0
95,01,01,13,070,10.9,13.1,02.60,07.70,06.50,999,1017.3,09.1,11.4,999.0,99.0
95,01,01,14,074,11.0,13.7,02.50,14.30,06.30,999,1017.3,09.1,11.4,999.0,99.0
95,01,01,15,078,12.9,15.3,02.90,14.30,06.60,999,1017.1,08.9,11.6,999.0,99.0
95,01,01,16,073,12.1,14.4,03.00,14.30,06.90,999,1018.1,08.8,11.6,999.0,99.0
95,01,01,17,075,11.4,13.8,03.40,12.50,06.70,999,1019.2,08.9,11.6,999.0,99.0
95,01,01,18,075,10.3,12.7,03.20,12.50,07.30,999,1020.1,09.4,11.6,999.0,99.0
95,01,01,19,073,10.6,12.6,03.00,14.30,07.00,999,1019.6,09.5,11.6,999.0,99.0
95,01,01,20,074,10.4,12.7,03.00,09.10,07.00,999,1018.8,09.4,11.4,999.0,99.0
