YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
89,01,01,00,317,05.6,07.4,05.10,12.50,10.10,999,1018.6,09.8,10.4,999.0,99.0
89,01,01,01,346,03.7,06.1,04.60,14.30,10.20,999,1018.9,09.9,10.4,999.0,99.0
89,01,01,02,348,04.0,06.2,04.40,14.30,09.80,999,1019.2,09.9,10.4,999.0,99.0
89,01,01,03,329,04.0,06.2,04.30,14.30,09.70,999,1019.4,09.9,10.4,999.0,99.0
89,01,01,04,042,00.7,02.2,04.60,14.30,10.00,999,1019.6,09.6,10.4,999.0,99.0
89,01,01,05,123,01.7,02.6,04.40,14.30,09.70,999,1019.8,09.0,10.3,999.0,99.0
89,01,01,06,332,04.2,05.7,04.00,12.50,09.60,999,1020.5,09.3,10.3,999.0,99.0
89,01,01,07,320,04.4,06.3,04.00,12.50,09.50,999,1020.6,09.5,10.3,999.0,99.0
89,01,01,08,311,06.0,07.3,03.90,12.50,09.60,999,1020.5,09.2,10.4,999.0,99.0
89,01,01,09,315,05.8,06.9,03.40,12.50,09.00,999,1020.3,09.0,10.4,999.0,99.0
89,01,01,10,315,05.6,07.3,04.20,12.50,09.70,999,1020.0,08.9,10.4,999.0,99.0
89,01,01,11,326,07.1,08.8,03.70,12.50,09.20,999,1019.9,08.9,10.4,999.0,99.0
89,01,01,12,335,03.0,04.3,03.60,12.50,08.80,999,1020.0,08.7,10.4,999.0,99.0
89,01,01,13,332,04.4,06.0,03.30,12.50,08.90,999,1020.1,08.6,10.4,999.0,99.0
89,01,01,14,338,02.1,03.3,03.50,12.50,09.20,999,1019.8,08.2,10.4,999.0,99.0
89,01,01,15,313,02.6,03.7,03.60,12.50,09.50,999,1020.0,08.5,10.4,999.0,99.0
89,01,01,16,320,02.9,04.3,03.60,12.50,09.50,999,1020.0,08.6,10.4,999.0,99.0
89,01,01,17,079,04.2,05.4,03.30,12.50,09.20,999,1020.8,07.7,10.4,999.0,99.0
89,01,01,18,084,02.1,03.1,03.10,12.50,09.00,999,1021.5,07.9,10.4,999.0,99.0
89,01,01,19,118,01.5,02.5,02.90,12.50,08.60,999,1020.8,08.9,10.4,999.0,99.0
89,01,01,20,114,01.3,02.6,03.40,12.50,09.50,999,1020.5,09.4,10.5,999.0,99.0
89,01,01,21,027,00.8,01.5,02.70,12.50,08.50,999,1020.3,09.8,10.6,999.0,99.0
89,01,01,22,305,00.9,02.1,02.50,12.50,08.70,999,1019.6,10.0,10.7,999.0,99.0
89,01,01,23,299,01.6,02.3,02.30,12.50,08.20,999,1019.0,10.0,10.8,999.0,99.0
89,01,02,00,324,00.8,01.5,02.30,11.10,08.20,999,1018.3,10.0,10.7,999.0,99.0
89,01,02,01,308,02.9,03.8,02.30,12.50,08.40,999,1018.6,09.3,10.6,999.0,99.0
89,01,02,02,315,06.7,07.8,02.20,12.50,08.00,999,1019.1,09.6,10.6,999.0,99.0
89,01,02,03,324,06.2,07.9,02.30,12.50,07.70,999,1019.6,09.5,10.5,999.0,99.0
