YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
91,01,01,01,337,05.9,06.5,00.60,14.30,05.80,999,1024.3,09.1,09.6,04.6,99.0
91,01,01,02,340,04.5,05.4,00.60,08.30,05.20,999,1024.1,09.1,09.6,05.1,99.0
91,01,01,03,359,04.6,05.1,00.60,14.30,05.60,999,1024.2,09.8,09.6,05.5,99.0
91,01,01,04,022,02.8,03.5,00.50,14.30,05.90,999,1024.5,09.5,09.8,05.6,99.0
91,01,01,05,023,02.4,02.8,00.60,14.30,05.40,999,1024.3,09.4,09.6,06.6,99.0
91,01,01,06,027,01.4,02.0,00.60,14.30,05.70,999,1024.3,09.2,09.5,06.4,99.0
91,01,01,07,071,02.6,03.7,00.70,12.50,06.30,999,1024.5,09.2,09.5,01.4,99.0
91,01,01,08,089,05.5,06.3,00.70,12.50,06.50,999,1024.3,08.6,09.5,01.1,99.0
91,01,01,09,081,04.9,05.6,00.70,12.50,06.90,999,1024.2,08.6,09.5,01.1,99.0
91,01,01,10,090,06.3,07.6,00.80,11.10,06.00,999,1023.8,08.7,09.5,00.5,99.0
91,01,01,11,094,06.5,07.6,00.90,11.10,05.60,999,1023.6,08.7,09.5,01.4,99.0
91,01,01,12,099,05.6,06.7,00.90,11.10,05.80,999,1023.2,08.2,09.4,00.5,99.0
91,01,01,13,082,05.5,06.8,01.00,11.10,06.20,999,1022.9,08.1,09.4,01.2,99.0
91,01,01,14,064,05.6,06.9,00.90,11.10,05.90,999,1022.9,07.9,09.4,01.5,99.0
91,01,01,15,068,07.7,09.3,00.80,11.10,05.00,999,1022.5,08.8,09.5,00.1,99.0
91,01,01,17,071,07.8,09.7,01.00,10.00,05.70,999,1022.7,07.6,09.5,00.0,99.0
91,01,01,18,075,07.1,08.4,01.00,10.00,05.40,999,1023.0,07.8,09.5,-00.9,99.0
91,01,01,19,072,06.4,08.1,01.00,10.00,05.90,999,1023.1,08.4,09.5,01.2,99.0
91,01,01,20,063,07.1,08.9,01.30,10.00,07.00,999,1022.6,09.6,09.6,-01.7,99.0
91,01,01,21,061,05.6,06.7,01.00,10.00,07.50,999,1021.7,10.3,09.7,01.2,99.0
91,01,01,22,040,03.7,04.6,00.80,10.00,07.80,999,1021.5,10.6,09.9,02.5,99.0
91,01,01,23,358,03.9,04.6,00.90,11.10,08.30,999,1021.0,10.3,10.0,02.7,99.0
91,01,02,00,339,03.1,04.1,01.20,12.50,10.00,999,1021.6,10.0,10.0,04.9,99.0
91,01,02,01,352,05.1,05.6,01.20,10.00,09.40,999,1021.1,09.7,09.9,06.5,99.0
91,01,02,02,010,04.2,04.8,01.20,11.10,09.10,999,1021.1,09.5,09.7,07.6,99.0
91,01,02,03,029,04.8,05.3,01.30,11.10,09.50,999,1021.1,09.4,09.6,08.1,99.0
91,01,02,04,032,04.6,05.8,01.30,11.10,09.80,999,1021.1,09.4,09.6,08.1,99.0
91,01,02,05,049,03.4,04.3,01.60,20.00,10.70,999,1021.5,09.6,09.5,04.6,99.0
91,01,02,06,060,04.4,05.3,01.40,11.10,09.40,999,1021.4,09.5,09.5,04.7,99.0
91,01,02,07,069,05.7,07.3,01.40,20.00,09.30,999,1021.3,09.4,09.5,04.7,99.0
91,01,02,08,081,05.5,06.7,01.70,20.00,10.60,999,1021.2,08.9,09.5,02.3,99.0
91,01,02,09,107,07.2,08.5,01.80,20.00,11.10,999,1020.4,08.9,09.5,02.5,99.0
91,01,02,10,109,07.7,09.4,01.40,20.00,07.60,999,1020.0,09.6,09.4,02.4,99.0
91,01,02,11,092,07.4,09.1,01.60,20.00,08.90,999,1020.0,08.9,09.4,02.3,99.0
91,01,02,12,085,06.9,08.3,01.70,20.00,08.40,999,1020.2,08.3,09.4,02.3,99.0
91,01,02,13,084,06.7,07.9,01.40,20.00,07.70,999,1019.7,08.2,09.4,03.0,99.0
91,01,02,14,084,06.4,08.1,01.40,20.00,07.20,999,1019.7,08.4,09.4,03.1,99.0
91,01,02,15,090,08.1,09.5,01.60,20.00,08.20,999,1020.0,08.9,09.4,02.2,99.0
91,01,02,16,091,08.8,11.3,01.80,20.00,08.60,999,1020.1,08.4,09.4,01.9,99.0
91,01,02,17,100,09.9,12.0,01.90,20.00,08.00,999,1020.6,07.9,09.4,01.9,99.0
91,01,02,18,099,08.1,09.6,01.80,20.00,07.00,999,1021.0,07.9,09.4,02.5,99.0
91,01,02,19,095,07.2,08.9,01.80,20.00,07.60,999,1021.0,08.7,09.5,03.7,99.0
91,01,02,20,084,05.6,06.9,01.70,20.00,07.90,999,1020.9,09.4,09.5,04.4,99.0
91,01,02,21,074,05.2,06.1,01.60,20.00,09.00,999,1019.9,10.4,09.8,04.4,99.0
91,01,02,22,079,04.8,05.8,01.60,20.00,09.70,999,1019.3,11.2,09.9,05.6,99.0
91,01,02,23,074,05.8,06.7,01.70,20.00,11.60,999,1018.8,11.6,09.8,05.3,99.0
91,01,03,00,087,05.6,06.4,01.40,16.70,10.70,999,1019.2,11.5,09.7,04.8,99.0
91,01,03,01,099,05.6,06.8,01.70,16.70,11.90,999,1019.3,11.2,09.6,04.4,99.0
91,01,03,02,088,05.3,06.1,02.10,20.00,13.10,999,1019.3,10.7,09.5,04.5,99.0
91,01,03,03,080,04.8,05.8,01.50,16.70,11.20,999,1019.2,10.4,09.5,05.1,99.0
91,01,03,04,084,04.8,05.8,01.60,16.70,11.00,999,1019.5,10.3,09.8,04.3,99.0
91,01,03,05,083,05.8,07.2,02.00,16.70,12.70,999,1019.5,10.2,09.9,03.8,99.0
91,01,03,06,082,07.3,08.7,01.60,16.70,10.10,999,1018.9,10.0,09.9,03.4,99.0
91,01,03,07,098,05.5,06.9,01.40,16.70,07.90,999,1019.1,09.9,09.9,04.6,99.0
91,01,03,08,092,05.1,06.1,01.30,16.70,08.20,999,1019.1,09.9,09.9,03.5,99.0
91,01,03,09,085,06.3,07.5,01.50,16.70,09.30,999,1018.7,09.8,09.9,04.6,99.0
91,01,03,10,087,05.6,06.7,01.60,16.70,08.60,999,1018.2,09.9,09.9,03.6,99.0
91,01,03,11,090,05.2,05.9,01.60,16.70,10.00,999,1018.0,09.7,09.9,03.9,99.0
91,01,03,12,094,05.7,06.9,01.50,16.70,10.30,999,1017.6,09.8,09.9,03.1,99.0
91,01,03,13,091,06.1,07.3,01.20,16.70,08.90,999,1016.9,10.1,09.8,02.6,99.0
91,01,03,14,094,02.7,03.3,01.60,16.70,11.20,999,1016.7,10.1,09.8,05.7,99.0
91,01,03,15,087,05.2,06.3,01.60,16.70,12.30,999,1016.7,09.7,09.8,03.9,99.0
91,01,03,16,097,04.6,05.6,01.70,16.70,12.30,999,1016.7,09.7,09.8,04.7,99.0
91,01,03,17,096,04.8,05.5,01.50,16.70,11.30,999,1017.0,09.2,09.8,04.8,99.0
91,01,03,18,096,05.6,06.7,01.30,16.70,10.60,999,1017.4,09.2,09.8,05.2,99.0
91,01,03,19,092,05.2,06.2,01.50,16.70,10.20,999,1017.5,09.8,09.9,04.6,99.0
91,01,03,20,090,04.5,05.5,01.60,16.70,11.00,999,1016.8,10.2,09.9,04.7,99.0
91,01,03,21,103,03.2,03.9,01.50,16.70,11.20,999,1016.0,10.6,10.0,06.0,99.0
91,01,03,22,118,02.1,02.7,01.50,16.70,11.50,999,1015.6,11.0,10.1,06.9,99.0
91,01,03,23,119,00.6,01.2,01.30,16.70,11.20,999,1015.1,11.7,10.2,06.3,99.0
91,01,04,00,135,02.2,02.5,01.50,16.70,11.40,999,1015.0,11.0,10.3,07.2,99.0
91,01,04,01,167,01.8,02.1,01.50,16.70,11.30,999,1015.2,10.4,10.3,08.0,99.0
91,01,04,02,190,01.1,01.7,01.50,14.30,10.90,999,1015.0,10.3,10.3,08.9,99.0
91,01,04,03,224,01.6,02.0,01.30,14.30,10.30,999,1014.9,10.2,10.3,09.1,99.0
91,01,04,04,249,01.9,02.2,01.50,14.30,10.90,999,1014.9,10.1,10.3,09.5,99.0
91,01,04,05,258,01.1,01.5,01.50,14.30,11.00,999,1014.8,09.9,10.3,09.8,99.0
91,01,04,06,359,01.3,02.0,01.50,16.70,10.60,999,1014.9,09.8,10.3,09.8,99.0
91,01,04,07,323,00.9,01.3,01.40,16.70,10.40,999,1015.1,09.5,10.3,09.5,99.0
91,01,04,08,306,01.4,02.0,01.60,16.70,10.90,999,1014.8,09.3,10.3,09.3,99.0
91,01,04,09,290,01.0,01.5,01.50,14.30,10.30,999,1014.3,09.2,10.3,08.9,99.0
91,01,04,10,316,01.6,02.0,01.50,14.30,10.30,999,1014.0,09.1,10.3,08.1,99.0
91,01,04,11,324,01.5,02.0,01.50,14.30,10.90,999,1014.0,09.4,10.2,07.1,99.0
91,01,04,12,332,01.8,02.5,01.50,14.30,10.70,999,1013.8,09.6,10.2,06.9,99.0
91,01,04,13,094,01.5,02.2,01.50,14.30,10.30,999,1013.7,09.1,10.2,08.2,99.0
91,01,04,14,090,02.3,03.6,01.40,14.30,09.90,999,1013.7,08.8,10.2,07.8,99.0
91,01,04,15,100,03.6,04.1,01.30,14.30,09.90,999,1013.9,08.3,10.1,06.0,99.0
91,01,04,16,095,04.3,05.0,01.50,14.30,10.00,999,1014.2,08.4,10.1,06.7,99.0
