YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
96,01,01,00,308,13.6,16.7,3.49,16.67,7.79,999,1022.4,13.4,13.7,999.0,99.0
96,01,01,01,311,13.5,16.2,4.37,20.00,8.80,999,1021.9,13.3,13.5,999.0,99.0
96,01,01,02,317,13.0,16.6,4.14,16.67,8.09,999,1022.2,13.3,13.3,999.0,99.0
96,01,01,03,320,13.7,17.5,4.47,16.67,8.53,999,1021.5,13.2,13.0,999.0,99.0
96,01,01,04,321,12.2,15.1,4.62,16.67,8.63,999,1022.3,13.1,12.7,999.0,99.0
96,01,01,05,319,11.9,14.5,5.15,16.67,9.61,999,1022.4,13.0,12.6,999.0,99.0
96,01,01,06,320,11.0,13.8,4.53,16.67,8.88,999,1022.3,12.9,12.7,999.0,99.0
96,01,01,07,326,10.9,14.1,4.49,16.67,9.30,999,1022.6,13.0,12.8,999.0,99.0
96,01,01,08,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
96,01,01,09,321,8.7,10.3,4.10,16.67,9.28,999,1022.1,13.1,12.7,999.0,99.0
96,01,01,10,319,9.8,11.7,4.88,14.29,10.01,999,1022.0,13.0,12.7,999.0,99.0
96,01,01,11,330,9.9,12.5,4.20,14.29,9.13,999,1021.6,13.0,12.7,999.0,99.0
96,01,01,12,322,8.6,10.4,4.06,14.29,8.94,999,1021.3,12.9,12.7,999.0,99.0
96,01,01,13,322,9.4,12.2,4.09,14.29,8.90,999,1020.9,12.9,12.7,999.0,99.0
96,01,01,14,322,11.4,13.5,4.05,12.50,8.77,999,1020.6,13.0,12.7,999.0,99.0
96,01,01,15,323,9.5,12.2,4.44,14.29,8.83,999,1021.0,13.4,12.7,999.0,99.0
96,01,01,16,321,10.6,12.8,3.94,14.29,8.32,999,1021.1,13.3,12.6,999.0,99.0
96,01,01,17,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
96,01,01,18,999,99.0,99.0,99.00,99.00,99.00,999,9999.0,999.0,999.0,999.0,99.0
96,01,01,19,331,4.9,5.9,3.34,14.29,8.20,999,1022.6,13.1,12.7,999.0,99.0
96,01,01,20,312,4.5,5.7,3.83,14.29,8.92,999,1022.3,13.2,12.7,999.0,99.0
96,01,01,21,322,5.7,6.8,3.69,14.29,8.95,999,1021.5,13.4,12.8,999.0,99.0
96,01,01,22,323,5.7,7.1,3.83,14.29,9.24,999,1021.2,13.5,12.8,999.0,99.0
96,01,01,23,315,5.4,6.6,3.36,14.29,8.49,999,1020.8,13.4,12.8,999.0,99.0
96,01,02,00,315,6.6,7.8,3.54,14.29,9.06,999,1020.4,13.4,12.8,999.0,99.0
96,01,02,01,315,7.5,9.1,3.23,14.29,8.36,999,1020.3,13.3,12.8,999.0,99.0
96,01,02,02,319,7.5,8.7,3.42,14.29,8.69,999,1020.2,13.3,12.7,999.0,99.0
96,01,02,03,322,6.1,7.4,3.26,14.29,7.92,999,1020.1,13.3,12.7,999.0,99.0
96,01,02,04,336,3.8,4.7,2.94,14.29,7.78,999,1020.1,13.2,12.6,999.0,99.0
96,01,02,05,310,3.6,4.8,3.04,14.29,8.13,999,1020.1,13.0,12.6,999.0,99.0
96,01,02,06,324,4.8,6.2,2.89,14.29,8.07,999,1020.3,13.1,12.6,999.0,99.0
96,01,02,07,324,4.7,6.1,2.98,14.29,8.31,999,1020.1,13.0,12.6,999.0,99.0
96,01,02,08,326,5.5,7.0,3.10,14.29,8.99,999,1019.7,13.0,12.6,999.0,99.0
96,01,02,09,333,3.1,4.3,2.84,12.50,8.77,999,1019.3,12.9,12.6,999.0,99.0
96,01,02,10,320,3.3,4.4,2.44,12.50,8.02,999,1019.0,12.8,12.6,999.0,99.0
96,01,02,11,54,.6,1.8,2.55,12.50,8.16,999,1019.2,12.7,12.6,999.0,99.0
96,01,02,12,326,2.0,2.6,2.66,14.29,8.49,999,1018.9,12.8,12.6,999.0,99.0
96,01,02,13,348,1.5,2.3,2.62,14.29,8.62,999,1018.2,13.1,12.6,999.0,99.0
96,01,02,14,293,1.6,3.0,2.58,11.11,8.53,999,1018.9,12.7,12.6,999.0,99.0
96,01,02,15,302,2.9,4.3,2.43,12.50,8.24,999,1019.2,12.8,12.6,999.0,99.0
96,01,02,16,35,1.3,2.0,2.32,12.50,8.36,999,1018.9,12.7,12.5,999.0,99.0
96,01,02,17,280,.5,1.5,2.25,10.00,8.00,999,1019.4,13.5,12.5,999.0,99.0
96,01,02,18,241,1.8,2.4,2.13,10.00,7.53,999,1019.8,13.3,12.6,999.0,99.0
96,01,02,19,174,1.3,2.0,2.16,14.29,8.00,999,1019.8,13.7,12.6,999.0,99.0
96,01,02,20,268,2.5,3.4,2.18,12.50,8.55,999,1019.5,13.2,13.0,999.0,99.0
96,01,02,21,78,.4,1.3,1.90,12.50,8.06,999,1018.9,13.5,13.2,999.0,99.0
96,01,02,22,186,1.8,2.2,2.05,14.29,8.26,999,1018.8,13.7,13.1,999.0,99.0
96,01,02,23,186,3.3,3.7,1.89,12.50,8.11,999,1018.6,13.7,13.1,999.0,99.0
96,01,03,00,187,2.4,3.0,2.06,11.11,8.21,999,1018.8,13.6,13.0,999.0,99.0
96,01,03,01,171,2.3,3.1,1.97,12.50,8.23,999,1018.8,13.3,13.0,999.0,99.0
96,01,03,02,274,1.1,1.7,1.94,12.50,8.23,999,1019.3,12.8,12.8,999.0,99.0
