YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2000,01,03,02,325,9.5,11.4,2.61,11.11,8.11,999,1028.2,10.9,11.8,6.9,99.0
2000,01,03,03,336,9.6,11.1,2.51,11.11,7.35,999,1028.8,10.8,11.8,7.4,99.0
2000,01,03,04,326,7.7,9.2,2.59,11.11,7.66,999,1029.5,10.7,11.8,7.3,99.0
2000,01,03,05,325,7.4,9.0,2.41,11.11,7.23,999,1029.5,10.8,11.8,7.7,99.0
2000,01,03,06,332,8.2,9.9,2.42,10.00,7.36,999,1029.7,10.9,11.8,7.3,99.0
2000,01,03,07,332,7.9,10.2,2.52,11.11,7.56,999,1029.7,11.1,11.8,7.5,99.0
2000,01,03,08,333,8.8,10.6,2.76,11.11,7.78,999,1030.1,11.0,11.8,7.7,99.0
2000,01,03,09,336,7.9,9.7,2.53,11.11,7.66,999,1029.6,10.9,11.8,8.3,99.0
2000,01,03,10,327,8.6,10.4,2.37,11.11,7.48,999,1029.4,11.0,11.8,7.6,99.0
2000,01,03,11,329,9.4,11.1,2.63,11.11,7.78,999,1029.5,10.8,11.8,7.7,99.0
2000,01,03,12,333,9.5,11.2,2.49,14.29,7.59,999,1029.4,10.9,11.8,7.8,99.0
2000,01,03,13,339,9.2,10.8,2.45,11.11,7.22,999,1029.8,10.7,11.8,7.9,99.0
2000,01,03,14,340,8.4,10.0,2.53,12.50,7.45,999,1030.3,10.5,11.8,7.2,99.0
2000,01,03,15,339,8.0,9.9,2.26,14.29,7.45,999,1030.6,10.4,11.7,7.0,99.0
2000,01,03,16,338,8.4,9.9,2.42,14.29,7.66,999,1030.6,10.5,11.7,7.0,99.0
2000,01,03,17,342,6.4,8.0,2.59,14.29,8.52,999,1031.0,11.0,11.8,6.1,99.0
2000,01,03,18,339,6.1,7.2,2.42,11.11,8.13,999,1031.6,11.0,11.8,6.2,99.0
2000,01,03,19,339,4.3,5.7,2.53,12.50,8.49,999,1031.9,11.1,11.8,6.3,99.0
2000,01,03,20,331,3.5,4.9,2.25,10.00,8.11,999,1031.7,11.2,11.9,6.2,99.0
2000,01,03,21,335,3.3,4.3,2.22,11.11,8.10,999,1030.9,11.5,12.0,7.6,99.0
2000,01,03,22,320,5.5,6.9,2.06,11.11,8.41,999,1030.4,11.6,12.0,7.9,99.0
2000,01,03,23,327,6.1,7.3,2.23,11.11,8.50,999,1030.5,11.5,12.0,7.8,99.0
2000,01,04,00,336,4.9,6.1,2.11,11.11,8.33,999,1030.6,11.5,12.0,8.2,99.0
2000,01,04,01,316,6.8,8.1,1.95,12.50,7.87,999,1030.8,11.1,11.9,8.5,99.0
2000,01,04,02,322,5.4,6.4,2.04,12.50,8.02,999,1030.8,11.1,11.9,8.4,99.0
2000,01,04,03,331,3.5,4.5,2.08,11.11,8.49,999,1030.8,11.0,11.9,8.7,99.0
2000,01,04,04,314,3.6,4.5,1.82,11.11,7.87,999,1031.1,11.1,11.9,8.8,99.0
2000,01,04,05,316,4.1,5.0,1.91,14.29,8.40,999,1031.5,11.1,11.9,8.9,99.0
2000,01,04,06,319,3.6,4.5,1.83,12.50,8.59,999,1031.6,11.1,11.8,9.0,99.0
2000,01,04,07,318,3.3,4.2,1.90,12.50,9.02,999,1031.9,11.1,11.8,8.9,99.0
2000,01,04,08,328,2.9,3.6,1.73,12.50,8.82,999,1031.7,11.2,11.8,8.7,99.0
2000,01,04,09,323,2.2,2.9,1.70,12.50,8.79,999,1031.4,11.1,11.7,8.8,99.0
2000,01,04,10,314,1.9,2.5,1.73,12.50,8.86,999,1031.0,11.0,11.7,8.9,99.0
2000,01,04,11,285,1.5,2.2,1.74,12.50,9.16,999,1031.3,11.0,11.8,8.9,99.0
2000,01,04,12,301,1.8,2.9,1.77,12.50,9.42,999,1031.0,11.4,11.9,8.2,99.0
2000,01,04,13,264,2.2,3.6,1.73,12.50,9.40,999,1030.4,11.4,11.9,7.8,99.0
