YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
90,01,01,01,289,04.7,05.6,99.00,99.00,99.00,999,1022.7,11.9,13.1,11.7,99.0
90,01,01,02,314,04.9,06.1,01.40,12.50,08.30,999,1022.7,11.8,13.1,11.5,99.0
90,01,01,03,315,06.9,08.1,01.40,12.50,08.10,999,1022.8,11.1,13.0,10.1,99.0
90,01,01,04,308,04.9,06.3,01.60,16.70,08.50,999,1022.8,11.6,13.0,09.9,99.0
90,01,01,05,302,06.8,08.3,01.50,16.70,08.30,999,1022.8,11.6,13.0,10.4,99.0
90,01,01,06,304,07.1,08.5,01.80,16.70,09.10,999,1022.6,11.5,12.9,09.9,99.0
90,01,01,07,315,06.5,08.1,02.10,16.70,09.70,999,1022.4,11.1,12.9,09.4,99.0
90,01,01,08,312,05.3,06.5,02.20,16.70,10.30,999,1021.9,11.6,12.9,09.7,99.0
90,01,01,09,297,05.1,06.2,01.90,16.70,09.50,999,1021.4,11.4,12.9,09.3,99.0
90,01,01,10,294,05.1,06.0,02.10,16.70,10.00,999,1021.2,11.4,12.9,09.4,99.0
90,01,01,11,297,04.3,05.3,02.40,16.70,11.10,999,1020.9,11.4,12.9,09.9,99.0
90,01,01,12,287,03.5,04.7,02.90,14.30,11.50,999,1020.5,11.5,12.9,10.2,99.0
90,01,01,13,252,04.0,05.4,02.70,14.30,11.00,999,1019.8,10.7,12.9,08.7,99.0
90,01,01,14,294,01.1,01.8,02.70,14.30,11.30,999,1019.2,10.9,12.9,07.5,99.0
90,01,01,15,239,02.4,03.6,02.70,14.30,11.00,999,1019.0,11.6,12.9,09.6,99.0
90,01,01,16,241,06.4,07.7,03.20,14.30,11.50,999,1018.3,11.9,12.9,09.9,99.0
90,01,01,17,243,03.6,07.1,02.80,14.30,10.80,999,1018.1,11.9,12.9,08.8,99.0
90,01,01,18,239,05.9,07.6,03.30,14.30,11.30,999,1017.9,12.2,12.8,09.5,99.0
90,01,01,19,268,05.8,08.2,03.00,14.30,10.80,999,1017.2,12.1,12.8,10.2,99.0
90,01,01,20,256,06.4,07.9,03.00,14.30,10.30,999,1016.4,11.5,12.8,08.8,99.0
90,01,01,21,297,08.8,11.1,03.10,14.30,10.00,999,1015.2,10.7,12.7,08.5,99.0
90,01,01,22,321,07.2,09.0,03.60,14.30,10.30,999,1014.2,10.4,12.8,08.4,99.0
90,01,01,23,317,05.7,07.4,03.00,14.30,09.60,999,1014.2,10.5,12.8,08.3,99.0
90,01,02,00,288,06.4,12.8,03.40,14.30,10.10,999,1013.9,10.2,12.8,08.0,99.0
90,01,02,01,342,08.0,10.7,03.20,14.30,09.30,999,1013.9,09.4,12.7,07.4,99.0
90,01,02,02,321,09.1,11.2,03.60,14.30,10.10,999,1014.0,10.4,12.7,07.3,99.0
90,01,02,03,322,10.8,13.5,03.20,14.30,08.60,999,1014.1,10.5,12.7,07.1,99.0
90,01,02,04,315,11.2,13.6,03.10,14.30,07.80,999,1014.1,10.9,12.7,07.7,99.0
90,01,02,05,318,15.5,18.3,03.60,14.30,08.10,999,1013.7,10.9,12.7,06.5,99.0
90,01,02,06,323,14.5,18.3,03.80,14.30,07.80,999,1014.2,09.9,12.6,06.0,99.0
90,01,02,07,326,15.4,18.7,03.80,14.30,07.50,999,1014.6,10.3,12.6,05.3,99.0
90,01,02,08,333,16.4,20.5,04.20,14.30,07.40,999,1015.2,09.9,12.6,04.6,99.0
90,01,02,09,328,15.4,18.7,04.30,14.30,07.50,999,1015.7,10.1,12.5,05.2,99.0
90,01,02,10,328,17.4,22.7,04.40,12.50,07.50,999,1015.7,09.6,12.5,04.5,99.0
90,01,02,11,329,15.1,18.9,04.30,12.50,07.60,999,1016.8,09.9,12.5,04.5,99.0
