YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
93,01,01,00,177,08.6,10.8,03.10,10.00,06.50,999,1014.7,13.1,12.2,999.0,99.0
93,01,01,01,178,09.6,11.7,03.10,10.00,06.70,999,1014.1,13.1,12.2,999.0,99.0
93,01,01,02,177,09.8,11.9,02.90,10.00,06.60,999,1013.4,13.0,12.2,999.0,99.0
93,01,01,03,173,10.4,12.8,03.10,10.00,06.60,999,1012.7,13.1,12.1,999.0,99.0
93,01,01,04,178,10.0,12.8,02.70,11.10,06.10,999,1012.4,13.0,12.1,999.0,99.0
93,01,01,05,187,12.0,15.4,03.00,10.00,06.20,999,1011.7,12.9,12.2,999.0,99.0
93,01,01,06,184,11.9,14.2,02.90,11.10,06.00,999,1011.3,12.9,12.4,999.0,99.0
93,01,01,07,305,04.9,06.7,02.80,11.10,06.50,999,1012.2,10.4,12.3,999.0,99.0
93,01,01,08,301,05.0,06.4,99.00,99.00,99.00,999,1011.7,10.4,12.4,999.0,99.0
93,01,01,09,313,06.0,08.0,02.60,10.00,06.90,999,1011.6,10.0,12.4,999.0,99.0
93,01,01,10,290,07.9,10.0,02.50,10.00,06.70,999,1011.0,10.3,12.5,999.0,99.0
93,01,01,11,310,07.6,09.5,02.50,11.10,06.70,999,1011.4,10.5,12.5,999.0,99.0
93,01,01,12,305,07.7,09.1,99.00,99.00,99.00,999,1011.2,09.8,12.5,999.0,99.0
93,01,01,13,318,06.0,08.0,02.30,10.00,06.90,999,1011.1,09.8,12.5,999.0,99.0
93,01,01,14,320,08.3,10.2,02.10,10.00,06.40,999,1011.5,09.7,12.5,999.0,99.0
93,01,01,15,311,07.7,09.9,02.40,10.00,06.60,999,1012.2,09.8,12.5,999.0,99.0
93,01,01,16,308,07.0,08.3,02.00,10.00,06.30,999,1013.1,09.9,12.5,999.0,99.0
93,01,01,17,325,05.9,07.8,02.10,09.10,06.60,999,1013.9,09.6,12.5,999.0,99.0
93,01,01,18,314,07.3,09.3,02.00,14.30,06.40,999,1014.6,10.2,12.5,999.0,99.0
93,01,01,19,328,07.8,10.4,02.20,09.10,06.60,999,1014.9,10.0,12.5,999.0,99.0
93,01,01,20,321,06.4,08.1,01.90,08.30,06.10,999,1014.8,10.0,12.5,999.0,99.0
93,01,01,21,330,08.2,10.2,01.90,09.10,06.00,999,1014.2,09.9,12.5,999.0,99.0
93,01,01,22,332,07.8,09.7,02.00,14.30,06.00,999,1014.1,09.8,12.5,999.0,99.0
93,01,01,23,314,08.3,10.5,02.00,10.00,06.20,999,1014.2,10.0,12.4,999.0,99.0
93,01,02,00,317,09.2,12.0,02.00,09.10,05.80,999,1014.4,09.8,12.4,999.0,99.0
93,01,02,01,313,10.8,13.5,99.00,99.00,99.00,999,1014.5,09.9,12.4,999.0,99.0
93,01,02,02,318,11.0,13.1,02.20,09.10,05.60,999,1014.9,09.8,12.4,999.0,99.0
93,01,02,03,318,10.0,11.3,02.40,14.30,06.00,999,1015.4,09.8,12.4,999.0,99.0
93,01,02,04,329,08.7,11.3,02.20,14.30,05.90,999,1015.9,09.6,12.4,999.0,99.0
93,01,02,05,332,08.9,10.5,02.10,14.30,06.00,999,1016.2,09.3,12.4,999.0,99.0
93,01,02,06,331,08.3,10.4,02.10,12.50,06.20,999,1016.7,09.1,12.4,999.0,99.0
93,01,02,07,317,08.4,09.9,02.20,12.50,06.50,999,1017.0,09.1,12.4,999.0,99.0
93,01,02,08,323,10.0,12.0,02.20,12.50,06.60,999,1017.2,09.2,12.4,999.0,99.0
93,01,02,09,318,10.1,12.1,02.40,12.50,06.30,999,1017.0,09.1,12.3,999.0,99.0
93,01,02,10,322,11.3,13.4,02.20,12.50,05.90,999,1016.8,09.0,12.3,999.0,99.0
93,01,02,11,324,11.1,13.3,02.20,12.50,05.90,999,1017.2,08.6,12.3,999.0,99.0
93,01,02,12,330,10.6,12.9,02.50,07.10,05.90,999,1017.4,08.6,12.3,999.0,99.0
93,01,02,13,333,10.6,12.5,02.30,12.50,06.00,999,1017.2,08.5,12.3,999.0,99.0
93,01,02,14,327,11.9,14.1,02.60,06.70,05.90,999,1017.8,08.4,12.3,999.0,99.0
93,01,02,15,329,11.2,13.5,02.40,07.10,05.80,999,1018.6,08.4,12.3,999.0,99.0
93,01,02,16,334,11.7,14.3,02.50,06.70,05.80,999,1018.8,08.5,12.3,999.0,99.0
93,01,02,17,335,11.8,14.1,02.50,07.70,05.90,999,1019.3,08.6,12.3,999.0,99.0
93,01,02,18,321,10.5,13.4,02.50,07.10,05.90,999,1020.2,08.8,12.2,999.0,99.0
93,01,02,19,332,11.1,13.5,02.20,06.70,05.60,999,1020.4,08.9,12.2,999.0,99.0
93,01,02,20,333,12.0,14.3,02.10,06.70,05.70,999,1019.9,08.9,12.1,999.0,99.0
93,01,02,21,327,09.8,12.1,02.20,07.10,05.80,999,1019.9,09.1,12.1,999.0,99.0
