YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
82,01,01,00,246,08.6,10.6,99.00,99.00,99.00,999,1007.0,12.8,12.2,999.0,99.0
82,01,01,01,295,11.1,14.4,99.00,99.00,99.00,999,1006.9,11.6,12.4,999.0,99.0
82,01,01,02,300,12.1,16.5,99.00,99.00,99.00,999,1007.6,11.6,12.4,999.0,99.0
82,01,01,03,296,11.8,15.7,99.00,99.00,99.00,999,1008.3,11.0,12.3,999.0,99.0
82,01,01,04,290,11.2,14.5,99.00,99.00,99.00,999,1009.0,10.6,12.3,999.0,99.0
82,01,01,05,302,12.1,15.6,99.00,99.00,99.00,999,1009.2,10.1,12.4,999.0,99.0
82,01,01,06,303,13.1,16.7,99.00,99.00,99.00,999,1010.0,10.4,12.3,999.0,99.0
82,01,01,07,295,12.0,16.1,99.00,99.00,99.00,999,1011.2,09.8,12.2,999.0,99.0
82,01,01,08,303,11.3,14.2,99.00,99.00,99.00,999,1011.8,10.5,12.1,999.0,99.0
82,01,01,09,316,10.1,13.6,99.00,99.00,99.00,999,1012.1,09.8,12.1,999.0,99.0
82,01,01,10,291,09.2,12.5,99.00,99.00,99.00,999,1012.7,09.1,12.0,999.0,99.0
82,01,01,11,326,07.6,10.3,99.00,99.00,99.00,999,1013.3,09.3,11.9,999.0,99.0
82,01,01,12,333,07.9,09.9,99.00,99.00,99.00,999,1013.5,09.0,11.7,999.0,99.0
82,01,01,13,325,07.0,09.3,99.00,99.00,99.00,999,1013.7,08.8,11.6,999.0,99.0
82,01,01,14,326,06.8,08.5,99.00,99.00,99.00,999,1014.5,08.8,11.5,999.0,99.0
82,01,01,15,316,05.5,07.2,99.00,99.00,99.00,999,1014.9,08.6,11.5,999.0,99.0
82,01,01,16,331,05.4,06.6,99.00,99.00,99.00,999,1015.2,08.3,11.5,999.0,99.0
82,01,01,17,333,01.7,03.0,99.00,99.00,99.00,999,1015.3,09.3,11.5,999.0,99.0
82,01,01,18,345,01.6,02.3,99.00,99.00,99.00,999,1015.4,09.3,11.6,999.0,99.0
82,01,01,19,281,00.3,01.1,99.00,99.00,99.00,999,1015.3,10.6,11.9,999.0,99.0
82,01,01,20,236,01.1,02.2,99.00,99.00,99.00,999,1014.2,10.1,12.0,999.0,99.0
82,01,01,21,220,04.5,05.5,99.00,99.00,99.00,999,1013.3,09.8,12.1,999.0,99.0
82,01,01,22,225,06.9,10.4,99.00,99.00,99.00,999,1011.8,10.6,12.2,999.0,99.0
82,01,01,23,219,09.2,10.9,99.00,99.00,99.00,999,1010.4,10.6,12.1,999.0,99.0
82,01,02,00,212,11.7,14.2,99.00,99.00,99.00,999,1008.8,10.4,12.2,999.0,99.0
82,01,02,01,262,09.2,11.7,99.00,99.00,99.00,999,1007.9,09.1,12.2,999.0,99.0
82,01,02,02,265,13.7,16.8,99.00,99.00,99.00,999,1007.2,09.2,12.1,999.0,99.0
82,01,02,03,292,14.4,18.4,99.00,99.00,99.00,999,1008.0,07.8,12.0,999.0,99.0
82,01,02,04,275,11.0,15.1,99.00,99.00,99.00,999,1008.2,09.4,12.0,999.0,99.0
82,01,02,05,272,11.6,16.5,99.00,99.00,99.00,999,1008.2,10.1,11.9,999.0,99.0
82,01,02,06,295,12.5,16.3,99.00,99.00,99.00,999,1008.7,09.1,11.9,999.0,99.0
82,01,02,07,276,12.1,15.9,99.00,99.00,99.00,999,1009.1,08.8,11.9,999.0,99.0
82,01,02,08,279,09.9,12.8,99.00,99.00,99.00,999,1009.0,09.5,11.9,999.0,99.0
82,01,02,09,302,13.1,16.4,99.00,99.00,99.00,999,1008.9,07.8,11.9,999.0,99.0
82,01,02,10,324,15.1,19.5,99.00,99.00,99.00,999,1009.1,07.4,11.8,999.0,99.0
82,01,02,11,290,11.0,13.8,99.00,99.00,99.00,999,1009.8,08.2,11.8,999.0,99.0
82,01,02,12,286,16.1,22.1,99.00,99.00,99.00,999,1009.7,08.6,11.7,999.0,99.0
82,01,02,13,285,10.9,14.4,99.00,99.00,99.00,999,1010.2,08.7,11.7,999.0,99.0
82,01,02,14,296,10.2,14.5,99.00,99.00,99.00,999,1011.0,09.0,11.7,999.0,99.0
82,01,02,15,329,12.3,15.7,99.00,99.00,99.00,999,1011.9,07.7,11.7,999.0,99.0
82,01,02,16,316,08.8,11.6,99.00,99.00,99.00,999,1012.7,07.8,11.7,999.0,99.0
82,01,02,17,318,11.5,14.9,99.00,99.00,99.00,999,1013.8,09.1,11.7,999.0,99.0
82,01,02,18,315,11.4,14.6,99.00,99.00,99.00,999,1015.1,08.3,11.8,999.0,99.0
82,01,02,19,305,12.5,16.7,99.00,99.00,99.00,999,1015.5,09.3,11.9,999.0,99.0
82,01,02,20,286,08.8,11.1,99.00,99.00,99.00,999,1016.5,06.8,11.8,999.0,99.0
82,01,02,21,304,09.6,12.1,99.00,99.00,99.00,999,1016.8,07.5,11.9,999.0,99.0
82,01,02,22,305,07.6,10.8,99.00,99.00,99.00,999,1017.1,08.1,11.9,999.0,99.0
82,01,02,23,319,09.4,11.9,99.00,99.00,99.00,999,1017.4,08.6,11.9,999.0,99.0
82,01,03,00,315,07.5,11.2,99.00,99.00,99.00,999,1017.8,08.7,11.8,999.0,99.0
82,01,03,01,319,09.0,11.6,99.00,99.00,99.00,999,1018.6,08.7,11.6,999.0,99.0
82,01,03,02,322,08.7,10.6,99.00,99.00,99.00,999,1019.8,08.2,11.2,999.0,99.0
82,01,03,03,340,06.7,08.6,99.00,99.00,99.00,999,1020.7,08.3,11.1,999.0,99.0
82,01,03,04,334,04.9,07.8,99.00,99.00,99.00,999,1021.5,08.5,11.1,999.0,99.0
82,01,03,05,358,02.6,04.1,99.00,99.00,99.00,999,1022.2,08.0,11.0,999.0,99.0
82,01,03,06,020,02.2,04.0,99.00,99.00,99.00,999,1022.8,07.8,11.0,999.0,99.0
82,01,03,07,011,01.3,02.7,99.00,99.00,99.00,999,1023.5,07.9,10.9,999.0,99.0
82,01,03,08,044,01.6,02.9,99.00,99.00,99.00,999,1023.4,07.9,10.9,999.0,99.0
82,01,03,09,027,00.5,01.7,99.00,99.00,99.00,999,1023.2,07.9,10.7,999.0,99.0
82,01,03,10,065,01.5,02.7,99.00,99.00,99.00,999,1023.1,08.2,10.8,999.0,99.0
82,01,03,11,097,03.2,04.6,99.00,99.00,99.00,999,1023.8,08.2,10.7,999.0,99.0
82,01,03,12,114,04.7,06.1,99.00,99.00,99.00,999,1023.1,08.1,10.9,999.0,99.0
82,01,03,13,128,04.7,06.7,99.00,99.00,99.00,999,1023.2,08.5,11.2,999.0,99.0
82,01,03,14,143,06.0,07.8,99.00,99.00,99.00,999,1023.1,08.6,11.5,999.0,99.0
82,01,03,15,125,06.6,08.0,99.00,99.00,99.00,999,1023.5,08.5,11.7,999.0,99.0
82,01,03,16,179,06.8,08.6,99.00,99.00,99.00,999,1023.6,10.1,11.9,999.0,99.0
82,01,03,17,163,07.0,09.3,99.00,99.00,99.00,999,1023.5,09.8,11.9,999.0,99.0
82,01,03,18,154,09.3,11.2,99.00,99.00,99.00,999,1023.4,10.1,11.9,999.0,99.0
82,01,03,19,151,10.6,13.1,99.00,99.00,99.00,999,1023.5,09.8,12.0,999.0,99.0
82,01,03,20,150,10.3,12.8,99.00,99.00,99.00,999,1023.3,09.9,11.9,999.0,99.0
82,01,03,21,150,11.4,14.6,99.00,99.00,99.00,999,1021.9,09.9,12.1,999.0,99.0
82,01,03,22,143,11.9,15.1,99.00,99.00,99.00,999,1021.0,09.7,12.1,999.0,99.0
82,01,03,23,150,13.2,16.3,99.00,99.00,99.00,999,1020.0,09.6,12.0,999.0,99.0
82,01,04,00,142,13.1,16.4,99.00,99.00,99.00,999,1019.4,09.2,12.0,999.0,99.0
82,01,04,01,146,13.7,17.2,99.00,99.00,99.00,999,1017.7,09.0,12.0,999.0,99.0
82,01,04,02,147,13.6,18.6,99.00,99.00,99.00,999,1017.4,09.1,12.1,999.0,99.0
82,01,04,03,141,13.8,17.8,99.00,99.00,99.00,999,1016.9,09.3,12.1,999.0,99.0
82,01,04,04,141,14.4,18.4,99.00,99.00,99.00,999,1016.6,08.7,12.2,999.0,99.0
82,01,04,05,138,15.0,20.5,99.00,99.00,99.00,999,1015.3,09.0,12.3,999.0,99.0
82,01,04,06,141,15.1,18.9,99.00,99.00,99.00,999,1015.3,09.0,12.4,999.0,99.0
82,01,04,07,144,16.6,21.4,99.00,99.00,99.00,999,1014.6,09.3,12.3,999.0,99.0
82,01,04,08,146,16.7,21.6,99.00,99.00,99.00,999,1012.9,09.3,12.3,999.0,99.0
82,01,04,09,155,15.9,20.6,99.00,99.00,99.00,999,1010.9,10.4,12.3,999.0,99.0
82,01,04,10,166,13.4,17.6,99.00,99.00,99.00,999,1010.6,10.7,12.3,999.0,99.0
82,01,04,11,176,17.6,22.3,99.00,99.00,99.00,999,1008.5,11.0,12.2,999.0,99.0
82,01,04,12,192,11.6,14.8,99.00,99.00,99.00,999,1008.8,12.5,12.3,999.0,99.0
82,01,04,13,195,10.6,13.2,99.00,99.00,99.00,999,1008.4,12.8,12.3,999.0,99.0
82,01,04,14,197,10.2,13.2,99.00,99.00,99.00,999,1007.8,12.9,12.3,999.0,99.0
82,01,04,15,196,11.0,13.7,99.00,99.00,99.00,999,1007.4,13.0,12.2,999.0,99.0
82,01,04,16,225,05.6,07.7,99.00,99.00,99.00,999,1008.5,13.0,12.2,999.0,99.0
82,01,04,17,999,99.0,99.0,99.00,99.00,99.00,999,1009.3,11.8,12.2,999.0,99.0
82,01,04,18,071,09.9,12.6,99.00,99.00,99.00,999,1009.6,09.5,12.2,999.0,99.0
82,01,04,19,070,09.1,11.8,99.00,99.00,99.00,999,1009.3,09.8,12.1,999.0,99.0
82,01,04,20,074,08.9,11.9,99.00,99.00,99.00,999,1008.2,10.6,12.1,999.0,99.0
82,01,04,22,071,07.2,10.1,99.00,99.00,99.00,999,1006.9,10.4,12.2,999.0,99.0
82,01,04,23,076,07.4,09.7,99.00,99.00,99.00,999,1007.0,10.2,12.3,999.0,99.0
82,01,05,00,069,08.6,11.0,99.00,99.00,99.00,999,1006.9,09.9,12.3,999.0,99.0
82,01,05,01,075,09.0,11.6,99.00,99.00,99.00,999,1006.5,09.9,12.3,999.0,99.0
82,01,05,02,073,09.2,11.9,99.00,99.00,99.00,999,1006.6,09.8,12.3,999.0,99.0
82,01,05,03,059,09.0,11.4,99.00,99.00,99.00,999,1006.5,10.2,12.3,999.0,99.0
82,01,05,04,048,07.9,09.6,99.00,99.00,99.00,999,1006.5,09.9,12.2,999.0,99.0
82,01,05,05,027,08.7,10.5,99.00,99.00,99.00,999,1006.6,09.7,12.3,999.0,99.0
82,01,05,06,030,09.5,11.3,99.00,99.00,99.00,999,1006.5,09.8,12.3,999.0,99.0
82,01,05,07,038,07.4,09.2,99.00,99.00,99.00,999,1007.0,10.0,12.3,999.0,99.0
82,01,05,08,033,04.6,05.9,99.00,99.00,99.00,999,1007.3,09.9,12.3,999.0,99.0
82,01,05,09,002,04.9,06.2,99.00,99.00,99.00,999,1007.1,09.9,12.2,999.0,99.0
82,01,05,10,326,03.1,04.0,99.00,99.00,99.00,999,1007.5,10.4,12.3,999.0,99.0
82,01,05,11,298,04.1,05.2,99.00,99.00,99.00,999,1008.0,10.2,12.3,999.0,99.0
82,01,05,12,300,09.1,10.8,99.00,99.00,99.00,999,1007.9,10.3,12.3,999.0,99.0
82,01,05,13,298,09.0,11.0,99.00,99.00,99.00,999,1008.0,10.4,12.3,999.0,99.0
82,01,05,14,304,09.0,11.5,99.00,99.00,99.00,999,1008.8,10.4,12.3,999.0,99.0
82,01,05,15,312,09.2,11.4,99.00,99.00,99.00,999,1009.7,10.5,12.3,999.0,99.0
82,01,05,16,301,08.8,10.8,99.00,99.00,99.00,999,1010.7,10.1,12.2,999.0,99.0
82,01,05,17,310,09.7,11.8,99.00,99.00,99.00,999,1011.7,10.1,12.1,999.0,99.0
82,01,05,18,305,10.3,12.2,99.00,99.00,99.00,999,1013.0,09.7,12.2,999.0,99.0
82,01,05,19,309,09.6,11.4,99.00,99.00,99.00,999,1013.8,09.5,12.3,999.0,99.0
82,01,05,20,308,10.5,13.0,99.00,99.00,99.00,999,1013.5,09.5,12.2,999.0,99.0
82,01,05,21,303,11.1,13.6,99.00,99.00,99.00,999,1013.5,09.6,12.2,999.0,99.0
82,01,05,22,308,10.4,11.9,99.00,99.00,99.00,999,1013.7,09.7,12.2,999.0,99.0
82,01,05,23,309,08.8,10.4,99.00,99.00,99.00,999,1014.4,09.9,12.2,999.0,99.0
82,01,06,00,314,06.6,07.8,99.00,99.00,99.00,999,1015.1,10.1,12.2,999.0,99.0
82,01,06,01,315,05.9,07.6,99.00,99.00,99.00,999,1015.8,10.3,12.2,999.0,99.0
82,01,06,02,319,06.1,07.4,99.00,99.00,99.00,999,1016.2,10.4,12.3,999.0,99.0
82,01,06,03,328,05.6,07.1,99.00,99.00,99.00,999,1016.9,10.5,12.3,999.0,99.0
82,01,06,04,325,05.6,06.7,99.00,99.00,99.00,999,1017.5,10.3,12.3,999.0,99.0
82,01,06,05,322,05.2,06.7,99.00,99.00,99.00,999,1017.7,10.1,11.9,999.0,99.0
82,01,06,06,334,03.2,04.4,99.00,99.00,99.00,999,1018.4,09.9,11.8,999.0,99.0
82,01,06,07,309,02.1,03.2,99.00,99.00,99.00,999,1018.8,10.1,11.5,999.0,99.0
82,01,06,08,315,05.5,06.7,99.00,99.00,99.00,999,1019.3,09.4,11.5,999.0,99.0
82,01,06,09,321,07.6,08.9,99.00,99.00,99.00,999,1019.2,08.9,11.4,999.0,99.0
82,01,06,10,326,08.4,09.5,99.00,99.00,99.00,999,1019.6,08.7,11.5,999.0,99.0
82,01,06,11,316,08.7,10.4,99.00,99.00,99.00,999,1019.8,07.8,11.8,999.0,99.0
82,01,06,12,316,07.1,08.9,99.00,99.00,99.00,999,1020.0,07.4,11.8,999.0,99.0
82,01,06,13,341,05.4,07.1,99.00,99.00,99.00,999,1020.1,07.6,11.1,999.0,99.0
82,01,06,14,043,03.7,05.8,99.00,99.00,99.00,999,1020.9,07.9,11.1,999.0,99.0
82,01,06,15,040,02.2,03.5,99.00,99.00,99.00,999,1022.0,07.5,11.2,999.0,99.0
82,01,06,16,078,02.8,04.1,99.00,99.00,99.00,999,1022.4,07.4,11.1,999.0,99.0
82,01,06,17,089,00.6,01.6,99.00,99.00,99.00,999,1023.0,08.2,11.1,999.0,99.0
82,01,06,18,011,00.0,00.6,99.00,99.00,99.00,999,1024.1,09.0,11.2,999.0,99.0
82,01,06,19,301,02.2,03.1,99.00,99.00,99.00,999,1024.9,08.1,11.2,999.0,99.0
82,01,06,20,308,01.9,02.9,99.00,99.00,99.00,999,1024.5,08.2,11.5,999.0,99.0
82,01,06,21,318,01.0,02.0,99.00,99.00,99.00,999,1024.0,08.5,11.6,999.0,99.0
82,01,06,22,281,01.5,02.3,99.00,99.00,99.00,999,1023.9,08.8,11.6,999.0,99.0
82,01,06,23,278,01.1,01.9,99.00,99.00,99.00,999,1024.0,09.3,11.6,999.0,99.0
82,01,07,00,281,01.1,02.0,99.00,99.00,99.00,999,1024.5,09.1,11.6,999.0,99.0
82,01,07,01,307,01.7,02.3,99.00,99.00,99.00,999,1024.4,09.2,11.5,999.0,99.0
82,01,07,02,316,03.2,04.2,99.00,99.00,99.00,999,1025.2,08.9,11.4,999.0,99.0
82,01,07,03,320,03.3,04.2,99.00,99.00,99.00,999,1025.7,09.1,11.3,999.0,99.0
82,01,07,04,297,02.4,03.5,99.00,99.00,99.00,999,1026.2,09.1,11.2,999.0,99.0
82,01,07,05,247,01.3,02.0,99.00,99.00,99.00,999,1026.8,09.1,11.1,999.0,99.0
82,01,07,06,011,00.0,00.4,99.00,99.00,99.00,999,1027.3,09.5,11.0,999.0,99.0
82,01,07,07,010,02.3,03.3,99.00,99.00,99.00,999,1027.3,09.8,11.1,999.0,99.0
82,01,07,08,101,00.1,00.8,99.00,99.00,99.00,999,1027.5,09.6,11.1,999.0,99.0
82,01,07,09,101,00.4,01.2,99.00,99.00,99.00,999,1027.7,09.5,11.1,999.0,99.0
82,01,07,10,141,02.6,03.1,99.00,99.00,99.00,999,1027.6,09.4,11.1,999.0,99.0
82,01,07,11,129,03.1,03.9,99.00,99.00,99.00,999,1028.5,08.9,11.0,999.0,99.0
82,01,07,12,124,04.1,04.6,99.00,99.00,99.00,999,1028.1,08.9,10.9,999.0,99.0
82,01,07,13,111,03.6,04.2,99.00,99.00,99.00,999,1028.4,08.8,10.9,999.0,99.0
82,01,07,14,089,02.5,03.3,99.00,99.00,99.00,999,1028.9,08.8,10.7,999.0,99.0
82,01,07,15,105,04.9,05.8,99.00,99.00,99.00,999,1029.7,07.8,10.8,999.0,99.0
82,01,07,16,107,02.7,03.6,99.00,99.00,99.00,999,1030.1,07.6,11.1,999.0,99.0
82,01,07,17,119,04.1,05.0,99.00,99.00,99.00,999,1030.8,08.7,11.0,999.0,99.0
82,01,07,18,103,04.3,05.2,99.00,99.00,99.00,999,1031.5,08.2,11.1,999.0,99.0
82,01,07,20,101,04.0,05.0,99.00,99.00,99.00,999,1031.1,08.2,11.2,999.0,99.0
82,01,07,21,106,02.5,03.2,99.00,99.00,99.00,999,1030.7,08.9,10.1,999.0,99.0
82,01,07,22,077,02.1,02.6,99.00,99.00,99.00,999,1030.6,09.7,10.4,999.0,99.0
82,01,07,23,070,00.8,01.4,99.00,99.00,99.00,999,1030.7,10.4,10.7,999.0,99.0
82,01,08,00,015,01.1,01.7,99.00,99.00,99.00,999,1030.7,10.1,10.8,999.0,99.0
82,01,08,01,005,00.6,01.3,99.00,99.00,99.00,999,1030.9,09.7,10.7,999.0,99.0
82,01,08,02,309,02.6,03.1,99.00,99.00,99.00,999,1031.3,09.4,10.5,999.0,99.0
82,01,08,03,312,03.5,04.2,99.00,99.00,99.00,999,1031.7,09.8,10.3,999.0,99.0
82,01,08,04,312,03.7,04.4,99.00,99.00,99.00,999,1031.5,10.1,10.5,999.0,99.0
82,01,08,05,323,04.2,05.0,99.00,99.00,99.00,999,1031.7,10.3,11.0,999.0,99.0
82,01,08,06,345,02.2,02.6,99.00,99.00,99.00,999,1031.4,10.1,10.9,999.0,99.0
82,01,08,07,080,03.4,04.0,99.00,99.00,99.00,999,1031.9,08.8,11.0,999.0,99.0
82,01,08,08,096,04.7,05.2,99.00,99.00,99.00,999,1031.6,08.1,11.0,999.0,99.0
82,01,08,09,110,03.8,04.4,99.00,99.00,99.00,999,1031.5,08.5,11.0,999.0,99.0
82,01,08,10,148,01.5,02.2,99.00,99.00,99.00,999,1031.5,08.6,10.9,999.0,99.0
82,01,08,11,130,03.1,04.0,99.00,99.00,99.00,999,1031.3,08.9,10.9,999.0,99.0
82,01,08,12,099,04.0,04.7,99.00,99.00,99.00,999,1031.1,08.3,10.9,999.0,99.0
82,01,08,13,083,04.8,05.8,99.00,99.00,99.00,999,1030.6,07.3,10.8,999.0,99.0
82,01,08,14,084,04.9,05.8,99.00,99.00,99.00,999,1030.5,07.0,10.8,999.0,99.0
82,01,08,15,085,03.4,04.1,99.00,99.00,99.00,999,1030.5,06.8,10.8,999.0,99.0
82,01,08,16,091,03.2,03.8,99.00,99.00,99.00,999,1030.8,07.1,10.6,999.0,99.0
82,01,08,17,088,04.3,05.3,99.00,99.00,99.00,999,1030.9,06.9,10.7,999.0,99.0
82,01,08,18,086,05.4,06.5,99.00,99.00,99.00,999,1031.0,06.7,11.1,999.0,99.0
82,01,08,19,092,04.0,04.8,99.00,99.00,99.00,999,1030.7,07.2,10.8,999.0,99.0
82,01,08,20,066,02.6,03.5,99.00,99.00,99.00,999,1029.8,09.0,10.8,999.0,99.0
82,01,08,21,043,01.8,02.3,99.00,99.00,99.00,999,1028.9,09.6,10.6,999.0,99.0
82,01,08,22,064,02.7,03.3,99.00,99.00,99.00,999,1028.2,09.9,10.5,999.0,99.0
82,01,08,23,073,02.8,03.5,99.00,99.00,99.00,999,1028.1,10.5,10.5,999.0,99.0
82,01,09,00,041,01.0,01.5,99.00,99.00,99.00,999,1028.0,11.0,10.6,999.0,99.0
82,01,09,01,022,01.4,01.9,99.00,99.00,99.00,999,1027.8,10.7,10.4,999.0,99.0
82,01,09,02,009,01.5,02.5,99.00,99.00,99.00,999,1028.0,10.0,10.2,999.0,99.0
82,01,09,03,066,04.5,05.4,99.00,99.00,99.00,999,1027.9,10.0,10.2,999.0,99.0
82,01,09,04,075,05.1,05.9,99.00,99.00,99.00,999,1027.7,09.5,10.6,999.0,99.0
82,01,09,05,056,05.3,06.5,99.00,99.00,99.00,999,1027.4,09.4,10.5,999.0,99.0
82,01,09,06,050,05.7,06.9,99.00,99.00,99.00,999,1027.5,08.9,10.7,999.0,99.0
82,01,09,07,050,06.8,07.9,99.00,99.00,99.00,999,1027.4,09.0,10.9,999.0,99.0
82,01,09,08,053,07.4,09.3,99.00,99.00,99.00,999,1026.8,08.7,10.9,999.0,99.0
82,01,09,09,044,06.7,08.2,99.00,99.00,99.00,999,1026.7,08.8,10.9,999.0,99.0
82,01,09,10,054,07.4,08.6,99.00,99.00,99.00,999,1026.6,09.0,10.9,999.0,99.0
82,01,09,11,047,07.1,08.4,99.00,99.00,99.00,999,1026.5,09.2,10.8,999.0,99.0
82,01,09,12,045,06.5,07.9,99.00,99.00,99.00,999,1026.4,09.5,10.8,999.0,99.0
82,01,09,13,047,05.7,07.2,99.00,99.00,99.00,999,1025.8,10.3,10.9,999.0,99.0
82,01,09,14,067,06.9,08.0,99.00,99.00,99.00,999,1025.5,09.6,10.8,999.0,99.0
82,01,09,15,062,06.5,07.6,99.00,99.00,99.00,999,1025.3,08.5,10.7,999.0,99.0
