YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2011,05,11,20,50,261,3.1,4.8,99.00,99.00,99.00,999,1018.7,11.6,17.8,999.0,99.0,99.00
2011,05,11,21,50,281,2.9,4.9,99.00,99.00,99.00,999,1019.1,11.5,18.7,999.0,99.0,99.00
2011,05,11,22,50,241,1.5,3.1,99.00,99.00,99.00,999,1019.0,11.7,17.2,999.0,99.0,99.00
2011,05,11,23,50,277,6.3,7.1,1.00,10.00,5.64,999,1018.7,10.6,999.0,999.0,99.0,99.00
2011,05,12,00,50,282,6.0,6.8,1.10,12.90,6.25,999,1018.4,10.7,999.0,999.0,99.0,99.00
2011,05,12,01,50,284,5.8,6.6,0.93,14.81,5.23,999,1018.5,10.6,9.2,999.0,99.0,99.00
2011,05,12,02,50,290,6.0,7.1,0.97,13.79,5.68,999,1018.7,10.5,9.2,999.0,99.0,99.00
2011,05,12,03,50,284,6.5,7.8,1.01,14.81,5.51,999,1018.9,10.4,9.1,999.0,99.0,99.00
2011,05,12,04,50,290,6.2,7.1,1.09,14.81,5.26,999,1019.5,10.4,9.0,999.0,99.0,99.00
2011,05,12,05,50,294,6.2,7.3,1.07,10.81,5.13,999,1019.7,10.2,9.0,999.0,99.0,99.00
2011,05,12,06,50,299,6.1,7.1,1.08,10.81,4.91,999,1019.7,10.2,9.0,999.0,99.0,99.00
2011,05,12,07,50,300,5.8,7.2,1.05,14.81,5.17,999,1020.1,10.1,9.0,999.0,99.0,99.00
2011,05,12,08,50,297,4.7,5.5,1.10,10.81,5.68,999,1019.9,10.2,9.0,999.0,99.0,99.00
2011,05,12,09,50,299,5.4,6.3,0.96,11.43,5.78,999,1019.8,10.2,9.0,999.0,99.0,99.00
2011,05,12,10,50,302,5.4,6.3,0.98,14.81,6.20,999,1019.9,10.1,9.0,999.0,99.0,99.00
2011,05,12,11,50,305,4.9,5.7,0.92,9.09,5.77,999,1020.2,10.1,9.0,999.0,99.0,99.00
2011,05,12,12,50,306,6.5,7.8,0.96,14.81,5.80,999,1020.2,10.1,9.0,999.0,99.0,99.00
2011,05,12,13,50,302,7.1,8.5,0.97,14.81,5.15,999,1020.6,9.7,9.0,999.0,99.0,99.00
2011,05,12,14,50,314,8.6,10.7,1.04,14.81,4.68,999,1021.4,9.4,9.0,999.0,99.0,99.00
2011,05,12,15,50,317,8.7,10.2,1.12,14.81,4.58,999,1022.1,10.1,8.9,999.0,99.0,99.00
2011,05,12,16,50,312,9.6,11.3,1.18,13.79,4.39,999,1022.4,10.1,8.9,999.0,99.0,99.00
2011,05,12,17,50,313,11.1,12.9,99.00,99.00,99.00,999,1022.7,10.0,9.0,999.0,99.0,99.00
2011,05,12,18,50,308,10.3,11.9,1.48,5.00,4.64,999,1022.8,10.0,9.0,999.0,99.0,99.00
2011,05,12,19,50,308,10.1,12.3,1.43,5.00,4.63,999,1022.7,10.0,9.0,999.0,99.0,99.00
2011,05,12,20,50,306,10.7,12.6,1.42,14.81,4.62,999,1022.2,10.2,9.1,999.0,99.0,99.00
2011,05,12,21,50,308,10.9,14.1,1.49,14.81,4.63,999,1022.0,10.2,9.2,999.0,99.0,99.00
2011,05,12,22,50,310,11.1,12.9,1.61,5.26,4.72,999,1021.4,10.3,9.2,999.0,99.0,99.00
2011,05,12,23,50,308,11.5,13.5,1.73,5.00,4.93,999,1020.9,10.3,9.2,999.0,99.0,99.00
2011,05,13,00,50,308,11.4,14.2,1.91,6.25,5.10,999,1020.6,10.3,9.2,999.0,99.0,99.00
2011,05,13,01,50,308,12.0,14.6,2.22,7.14,5.34,999,1020.1,10.3,9.1,999.0,99.0,99.00
2011,05,13,02,50,308,12.6,15.2,2.23,6.67,5.37,999,1019.8,10.1,9.1,999.0,99.0,99.00
