YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2001,01,01,00,312,4.6,5.8,2.61,16.67,9.90,999,1018.2,11.6,11.5,11.5,99.0,99.00
2001,01,01,01,326,6.1,7.6,2.55,16.67,9.73,999,1018.2,11.5,11.5,11.4,99.0,99.00
2001,01,01,02,329,5.5,6.6,2.58,16.67,9.77,999,1018.5,11.4,11.5,11.4,99.0,99.00
2001,01,01,03,317,7.0,8.6,2.32,14.29,8.35,999,1018.9,11.5,11.5,11.5,99.0,99.00
2001,01,01,04,323,8.0,9.5,3.08,14.29,9.31,999,1019.1,11.2,11.5,11.2,99.0,99.00
2001,01,01,05,323,8.7,10.5,2.84,14.29,8.28,999,1019.1,11.1,11.5,11.0,99.0,99.00
2001,01,01,06,333,9.3,11.0,2.78,16.67,7.82,999,1019.5,10.7,11.5,10.7,99.0,99.00
2001,01,01,07,331,8.9,10.6,3.06,14.29,8.49,999,1019.8,10.5,11.4,10.4,99.0,99.00
2001,01,01,08,331,6.4,7.3,3.08,14.29,8.57,999,1019.7,10.7,11.4,10.7,99.0,99.00
2001,01,01,09,340,4.4,5.5,3.16,12.50,8.85,999,1019.4,10.6,11.4,10.6,99.0,99.00
2001,01,01,10,41,2.2,3.5,2.93,14.29,9.30,999,1020.1,9.9,11.4,9.8,99.0,99.00
2001,01,01,11,89,3.1,4.5,2.90,14.29,9.49,999,1019.7,8.9,11.3,8.9,99.0,99.00
2001,01,01,12,96,6.7,8.4,2.58,14.29,9.63,999,1018.9,10.5,11.3,10.2,99.0,99.00
2001,01,01,13,88,7.8,10.0,3.15,12.50,9.59,999,1019.5,10.9,11.2,9.2,99.0,99.00
2001,01,01,14,102,8.3,11.5,3.39,14.29,10.33,999,1019.0,10.9,11.2,9.7,99.0,99.00
2001,01,01,15,107,6.1,8.3,2.57,14.29,8.51,999,1019.7,10.4,11.2,9.0,99.0,99.00
2001,01,01,16,98,5.5,7.3,2.87,14.29,8.88,999,1020.9,10.0,11.2,8.6,99.0,99.00
2001,01,01,17,85,6.8,8.3,2.71,12.50,8.73,999,1021.1,10.8,11.2,8.6,99.0,99.00
2001,01,01,18,90,6.1,7.9,3.21,14.29,9.95,999,1021.7,10.3,11.2,8.5,99.0,99.00
2001,01,01,19,105,5.6,7.2,2.61,12.50,9.22,999,1021.7,10.4,11.2,8.7,99.0,99.00
2001,01,01,20,65,5.3,6.4,2.65,14.29,9.66,999,1020.8,10.7,11.4,8.9,99.0,99.00
2001,01,01,21,72,2.6,4.1,2.51,14.29,9.41,999,1020.4,12.0,11.6,10.0,99.0,99.00
2001,01,01,22,45,3.2,4.3,2.59,14.29,9.83,999,1020.2,12.8,11.7,9.8,99.0,99.00
2001,01,01,23,13,3.7,4.7,2.78,14.29,10.48,999,1020.4,12.1,11.7,10.2,99.0,99.00
2001,01,02,00,332,2.9,3.9,2.86,14.29,10.63,999,1020.9,12.0,11.7,11.2,99.0,99.00
2001,01,02,01,337,4.9,6.1,2.77,14.29,10.56,999,1021.7,11.8,11.7,11.4,99.0,99.00
2001,01,02,02,356,4.2,5.0,2.73,14.29,10.57,999,1021.7,11.8,11.7,10.7,99.0,99.00
2001,01,02,03,349,4.4,5.3,2.37,12.50,10.42,999,1022.3,11.6,11.7,11.2,99.0,99.00
2001,01,02,04,18,2.6,3.5,2.43,14.29,10.79,999,1022.3,11.6,11.7,11.0,99.0,99.00
2001,01,02,05,27,2.9,3.6,2.69,14.29,12.07,999,1022.7,11.5,11.8,11.2,99.0,99.00
2001,01,02,06,36,2.7,3.9,3.39,20.00,13.93,999,1022.9,11.8,11.8,11.1,99.0,99.00
2001,01,02,07,77,5.8,8.0,3.23,20.00,13.67,999,1022.4,11.3,11.8,10.0,99.0,99.00
2001,01,02,08,86,5.1,7.2,3.52,20.00,13.01,999,1022.5,11.4,11.7,10.0,99.0,99.00
2001,01,02,09,82,6.8,8.8,3.70,20.00,13.63,999,1022.3,11.0,11.7,9.4,99.0,99.00
2001,01,02,10,77,6.4,8.2,3.96,20.00,13.21,999,1022.3,11.1,11.5,9.3,99.0,99.00
2001,01,02,11,69,6.5,8.3,3.38,16.67,11.90,999,1022.8,11.1,11.5,9.0,99.0,99.00
2001,01,02,12,77,5.5,7.8,3.89,16.67,13.17,999,1023.2,11.0,11.5,9.0,99.0,99.00
2001,01,02,13,86,6.4,9.4,3.64,16.67,12.72,999,1023.1,11.2,11.3,8.4,99.0,99.00
2001,01,02,14,89,7.7,10.0,3.78,16.67,11.80,999,1023.5,10.7,11.2,7.8,99.0,99.00
2001,01,02,15,93,6.4,9.2,3.93,16.67,12.10,999,1023.9,10.4,11.2,8.5,99.0,99.00
2001,01,02,16,92,6.4,8.0,3.55,16.67,11.12,999,1023.9,11.1,11.3,8.8,99.0,99.00
2001,01,02,17,86,7.2,9.1,3.15,16.67,10.44,999,1024.0,11.0,11.4,8.4,99.0,99.00
2001,01,02,18,86,5.0,7.1,3.28,14.29,10.42,999,1025.3,11.3,11.5,8.9,99.0,99.00
2001,01,02,19,85,6.4,8.6,2.86,16.67,9.42,999,1025.7,11.7,11.7,8.8,99.0,99.00
2001,01,02,20,90,6.6,8.5,2.77,14.29,9.66,999,1024.9,12.3,11.8,9.6,99.0,99.00
2001,01,02,21,94,6.4,8.2,2.92,16.67,10.19,999,1024.2,12.9,11.9,10.1,99.0,99.00
2001,01,02,22,90,5.6,7.7,2.44,16.67,9.66,999,1023.9,13.5,11.9,10.4,99.0,99.00
2001,01,02,23,140,3.3,4.4,2.55,14.29,10.35,999,1024.3,13.3,11.9,11.0,99.0,99.00
2001,01,03,00,107,2.7,3.6,2.51,14.29,10.77,999,1024.9,13.9,11.8,11.3,99.0,99.00
2001,01,03,01,102,2.6,4.0,2.15,14.29,10.46,999,1025.1,13.1,11.8,10.7,99.0,99.00
2001,01,03,02,83,4.6,5.7,2.66,14.29,11.82,999,1025.3,12.9,11.6,10.8,99.0,99.00
2001,01,03,03,87,5.7,7.1,2.23,14.29,11.12,999,1025.6,12.7,11.4,9.7,99.0,99.00
