YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,01,03,05,50,316,3.3,5.0,2.47,10.00,8.80,999,1026.5,10.7,11.3,999.0,99.0,99.00
2012,01,03,06,50,330,3.9,5.1,2.28,10.00,8.80,999,1027.1,10.3,11.3,999.0,99.0,99.00
2012,01,03,07,50,317,3.0,4.9,2.36,10.00,8.91,999,1026.9,10.0,11.3,999.0,99.0,99.00
2012,01,03,08,50,318,5.5,7.1,2.54,12.90,9.39,999,1026.9,9.8,11.0,999.0,99.0,99.00
2012,01,03,09,50,323,6.1,7.3,2.58,12.12,9.15,999,1027.0,9.7,11.0,999.0,99.0,99.00
2012,01,03,10,50,314,5.0,6.4,3.04,16.00,9.69,999,1027.1,9.7,11.0,999.0,99.0,99.00
2012,01,03,11,50,323,4.5,5.9,3.08,16.00,9.80,999,1026.7,9.5,11.0,999.0,99.0,99.00
2012,01,03,12,50,324,4.3,5.6,3.25,14.81,10.09,999,1026.4,9.3,11.0,999.0,99.0,99.00
2012,01,03,13,50,339,3.2,4.5,3.62,14.81,10.82,999,1026.6,9.7,11.0,999.0,99.0,99.00
2012,01,03,14,50,348,3.4,4.8,3.50,16.00,10.57,999,1027.0,10.0,11.0,999.0,99.0,99.00
2012,01,03,15,50,357,3.3,4.5,2.95,16.00,10.23,999,1027.4,10.1,11.0,999.0,99.0,99.00
2012,01,03,16,50,357,1.1,1.8,3.03,16.00,9.81,999,1028.1,10.2,10.9,999.0,99.0,99.00
2012,01,03,17,50,99,2.0,3.4,2.84,13.79,9.95,999,1028.5,9.4,10.9,999.0,99.0,99.00
2012,01,03,18,50,82,2.5,3.6,2.86,14.81,9.82,999,1028.8,8.3,11.0,999.0,99.0,99.00
2012,01,03,19,50,23,0.2,0.9,2.89,14.81,10.09,999,1027.7,8.7,11.0,999.0,99.0,99.00
2012,01,03,20,50,335,2.4,3.7,2.78,14.81,10.02,999,1026.9,8.6,11.1,999.0,99.0,99.00
2012,01,03,21,50,340,3.4,4.6,2.68,14.81,9.59,999,1026.4,8.8,11.2,999.0,99.0,99.00
