YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,12,31,23,50,295,3.3,4.5,2.41,19.05,10.60,999,1024.5,10.5,12.1,999.0,99.0,99.00
2013,01,01,00,50,315,4.6,5.6,2.43,17.39,10.89,999,1025.0,10.5,12.1,999.0,99.0,99.00
2013,01,01,01,50,323,3.0,4.1,2.75,17.39,11.68,999,1024.5,10.5,12.1,999.0,99.0,99.00
2013,01,01,02,50,317,3.7,4.8,2.42,17.39,11.49,999,1024.7,10.7,12.2,999.0,99.0,99.00
2013,01,01,03,50,323,3.2,4.6,2.41,17.39,11.61,999,1024.7,10.8,12.2,999.0,99.0,99.00
2013,01,01,04,50,331,3.4,4.4,2.89,17.39,12.50,999,1024.8,10.9,12.2,999.0,99.0,99.00
2013,01,01,05,50,308,3.5,4.4,2.75,16.00,12.26,999,1024.7,10.9,12.2,999.0,99.0,99.00
2013,01,01,06,50,305,4.0,5.0,2.58,17.39,12.34,999,1024.4,11.0,12.1,999.0,99.0,99.00
2013,01,01,07,50,327,4.2,5.7,2.72,16.00,12.67,999,1024.4,11.1,12.1,999.0,99.0,99.00
2013,01,01,08,50,135,1.7,3.1,2.38,16.00,11.83,999,1023.7,10.0,12.0,999.0,99.0,99.00
2013,01,01,09,50,322,1.3,2.4,2.58,16.00,11.60,999,1023.8,10.4,12.0,999.0,99.0,99.00
2013,01,01,10,50,347,4.8,6.1,2.90,16.00,12.24,999,1023.8,10.6,12.0,999.0,99.0,99.00
2013,01,01,11,50,49,3.1,4.6,2.95,16.00,12.27,999,1024.1,9.5,12.0,999.0,99.0,99.00
2013,01,01,12,50,91,3.6,5.1,2.98,16.00,12.12,999,1023.8,9.1,12.0,999.0,99.0,99.00
2013,01,01,13,50,70,5.1,6.8,3.02,16.00,11.92,999,1024.3,8.5,12.0,999.0,99.0,99.00
2013,01,01,14,50,77,6.2,7.6,3.16,14.81,11.58,999,1024.4,8.5,12.0,999.0,99.0,99.00
2013,01,01,15,50,76,7.4,9.3,2.85,13.79,10.51,999,1024.5,8.1,12.0,999.0,99.0,99.00
2013,01,01,16,50,96,5.8,7.6,3.19,13.79,11.74,999,1025.0,8.6,12.0,999.0,99.0,99.00
2013,01,01,17,50,91,4.8,6.9,2.92,14.81,11.36,999,1025.5,8.0,12.0,999.0,99.0,99.00
2013,01,01,18,50,75,4.3,6.5,2.85,16.00,12.21,999,1025.4,8.3,12.1,999.0,99.0,99.00
2013,01,01,19,50,96,5.5,7.1,3.12,16.00,12.61,999,1024.8,8.9,12.2,999.0,99.0,99.00
2013,01,01,20,50,101,6.5,8.0,2.64,16.00,11.69,999,1024.1,9.8,12.2,999.0,99.0,99.00
2013,01,01,21,50,100,4.9,7.0,2.66,14.81,11.20,999,1023.8,10.7,12.2,999.0,99.0,99.00
2013,01,01,22,50,114,4.0,5.1,2.48,16.00,11.05,999,1023.7,11.6,12.2,999.0,99.0,99.00
2013,01,01,23,50,89,4.2,5.5,2.58,16.00,11.74,999,1023.5,12.3,12.2,999.0,99.0,99.00
2013,01,02,00,50,333,4.6,5.7,2.52,14.81,11.37,999,1023.5,10.6,12.2,999.0,99.0,99.00
2013,01,02,01,50,337,5.8,7.0,2.48,14.81,11.76,999,1023.6,10.4,12.2,999.0,99.0,99.00
2013,01,02,02,50,328,5.9,7.1,2.59,14.81,11.04,999,1024.2,10.7,12.1,999.0,99.0,99.00
2013,01,02,03,50,336,6.0,7.0,2.18,14.81,9.65,999,1024.4,10.8,12.1,999.0,99.0,99.00
2013,01,02,04,50,330,5.6,6.8,2.37,14.81,10.03,999,1024.3,10.8,12.0,999.0,99.0,99.00
2013,01,02,05,50,353,4.6,5.8,2.08,14.81,9.48,999,1024.3,10.7,12.0,999.0,99.0,99.00
2013,01,02,06,50,27,3.1,3.9,2.06,14.81,10.01,999,1024.1,10.5,12.0,999.0,99.0,99.00
2013,01,02,07,50,61,2.6,3.6,2.18,13.79,10.27,999,1024.2,10.2,12.0,999.0,99.0,99.00
2013,01,02,08,50,81,3.1,4.3,2.09,12.90,10.18,999,1023.8,9.6,11.8,999.0,99.0,99.00
2013,01,02,09,50,93,4.7,6.1,1.74,14.81,9.09,999,1023.3,9.8,11.8,999.0,99.0,99.00
2013,01,02,10,50,86,4.8,6.0,1.86,12.12,9.05,999,1023.1,8.9,11.8,999.0,99.0,99.00
2013,01,02,11,50,90,6.3,7.8,1.85,12.90,8.99,999,1022.4,8.2,11.8,999.0,99.0,99.00
2013,01,02,12,50,99,5.0,6.6,1.67,12.90,8.11,999,1022.5,8.1,11.9,999.0,99.0,99.00
2013,01,02,13,50,92,5.3,6.5,1.58,16.00,9.16,999,1022.0,8.8,11.9,999.0,99.0,99.00
2013,01,02,14,50,108,7.0,8.4,1.55,14.81,8.11,999,1021.8,9.7,11.9,999.0,99.0,99.00
2013,01,02,15,50,106,8.9,10.5,1.70,14.81,7.49,999,1022.0,10.1,11.9,999.0,99.0,99.00
2013,01,02,16,50,96,6.1,7.7,1.60,16.00,7.27,999,1022.9,9.1,11.9,999.0,99.0,99.00
2013,01,02,17,50,94,7.5,8.7,1.66,16.00,8.06,999,1023.2,8.8,12.0,999.0,99.0,99.00
2013,01,02,18,50,93,7.3,8.4,1.66,14.81,7.71,999,1023.3,9.3,12.0,999.0,99.0,99.00
2013,01,02,19,50,103,5.7,6.8,1.75,17.39,7.78,999,1022.7,10.1,12.1,999.0,99.0,99.00
2013,01,02,20,50,97,5.4,6.5,1.59,14.81,8.02,999,1021.8,11.1,12.1,999.0,99.0,99.00
2013,01,02,21,50,91,5.3,6.5,1.59,14.81,8.08,999,1021.1,11.9,12.1,999.0,99.0,99.00
2013,01,02,22,50,107,6.3,7.7,1.57,16.00,7.96,999,1020.8,12.7,12.2,999.0,99.0,99.00
2013,01,02,23,50,104,6.2,7.8,1.61,16.00,8.14,999,1020.5,12.8,12.2,999.0,99.0,99.00
2013,01,03,00,50,112,4.0,5.3,1.66,14.81,8.82,999,1021.0,12.7,12.2,999.0,99.0,99.00
