YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,12,31,23,50,314,4.9,99.0,99.00,99.00,99.00,999,9999.0,10.3,999.0,999.0,99.0,99.00
2014,01,01,00,50,313,5.7,6.8,1.84,13.79,9.93,999,1022.6,10.2,10.5,999.0,99.0,99.00
2014,01,01,01,50,315,5.0,6.1,1.59,12.90,8.70,999,1022.4,10.2,10.4,999.0,99.0,99.00
2014,01,01,02,50,319,5.6,6.6,1.41,12.12,8.09,999,1022.3,10.3,10.4,999.0,99.0,99.00
2014,01,01,03,50,318,4.6,5.7,1.74,14.81,9.33,999,1022.4,10.4,10.3,999.0,99.0,99.00
2014,01,01,04,50,314,4.2,5.1,1.90,13.79,10.26,999,1022.5,10.5,10.4,999.0,99.0,99.00
2014,01,01,05,50,313,4.2,5.2,1.74,13.79,10.04,999,1022.5,10.6,10.3,999.0,99.0,99.00
2014,01,01,06,50,326,5.4,6.3,1.65,13.79,9.82,999,1022.7,10.5,10.2,999.0,99.0,99.00
2014,01,01,07,50,332,3.8,4.6,1.54,14.81,8.87,999,1022.7,10.3,10.2,999.0,99.0,99.00
2014,01,01,08,50,327,5.4,6.6,1.76,14.81,9.09,999,1022.4,10.1,10.2,999.0,99.0,99.00
2014,01,01,09,50,324,5.5,6.7,1.91,13.79,8.74,999,1022.3,9.1,10.2,999.0,99.0,99.00
2014,01,01,10,50,339,4.3,5.2,1.79,14.81,8.37,999,1022.3,9.0,10.2,999.0,99.0,99.00
2014,01,01,11,50,319,3.5,4.5,1.81,13.79,9.05,999,1022.2,8.7,10.3,999.0,99.0,99.00
2014,01,01,12,50,320,2.3,3.6,1.60,13.79,8.30,999,1022.1,8.2,10.2,999.0,99.0,99.00
2014,01,01,13,50,348,1.5,2.5,1.83,14.81,9.19,999,1021.9,8.9,10.2,999.0,99.0,99.00
2014,01,01,14,50,320,4.3,5.3,1.84,14.81,9.39,999,1022.3,8.1,10.2,999.0,99.0,99.00
2014,01,01,15,50,340,3.9,5.5,1.64,12.90,8.79,999,1022.3,8.0,10.1,999.0,99.0,99.00
2014,01,01,16,50,354,1.7,3.1,1.45,13.79,9.48,999,1022.6,7.6,10.1,999.0,99.0,99.00
2014,01,01,17,50,316,2.9,3.8,1.40,13.79,9.77,999,1023.3,7.8,10.2,999.0,99.0,99.00
2014,01,01,18,50,351,1.0,2.0,1.49,14.81,10.29,999,1023.1,8.0,10.2,999.0,99.0,99.00
2014,01,01,19,50,323,3.0,4.2,1.53,14.81,9.78,999,1022.4,7.9,10.3,999.0,99.0,99.00
2014,01,01,20,50,309,3.1,4.2,1.61,12.12,9.57,999,1021.7,8.2,10.3,999.0,99.0,99.00
2014,01,01,21,50,312,3.5,4.5,1.53,13.79,9.03,999,1021.3,8.3,10.3,999.0,99.0,99.00
2014,01,01,22,50,293,4.4,5.4,1.66,13.79,9.37,999,1021.4,8.4,10.4,999.0,99.0,99.00
2014,01,01,23,50,317,4.5,6.5,1.70,13.79,9.32,999,1021.4,8.6,10.4,999.0,99.0,99.00
2014,01,02,00,50,335,3.5,4.4,1.64,13.79,9.16,999,1021.3,8.8,10.4,999.0,99.0,99.00
2014,01,02,01,50,326,3.1,3.8,1.61,13.79,9.05,999,1021.1,9.9,10.3,999.0,99.0,99.00
2014,01,02,02,50,315,2.8,3.4,1.44,13.79,9.51,999,1021.3,10.1,10.3,999.0,99.0,99.00
2014,01,02,03,50,307,4.2,5.1,1.48,13.79,10.12,999,1021.6,10.3,10.3,999.0,99.0,99.00
2014,01,02,04,50,322,5.4,6.6,1.28,12.90,9.49,999,1021.6,10.1,10.3,999.0,99.0,99.00
2014,01,02,05,50,332,4.3,5.6,1.33,12.90,8.90,999,1021.6,9.8,10.3,999.0,99.0,99.00
2014,01,02,06,50,323,3.8,4.7,1.25,12.90,8.23,999,1021.8,9.4,10.3,999.0,99.0,99.00
2014,01,02,07,50,333,4.7,5.7,1.47,12.90,8.91,999,1021.5,9.2,10.3,999.0,99.0,99.00
2014,01,02,08,50,318,4.2,5.3,1.43,12.90,9.07,999,1021.4,9.1,10.3,999.0,99.0,99.00
2014,01,02,09,50,333,3.2,4.6,1.22,12.90,8.51,999,1021.5,9.0,10.3,999.0,99.0,99.00
2014,01,02,10,50,349,2.5,3.5,1.50,12.12,8.88,999,1021.4,8.8,10.3,999.0,99.0,99.00
2014,01,02,11,50,333,2.5,3.1,1.32,12.90,8.69,999,1021.1,8.2,10.3,999.0,99.0,99.00
2014,01,02,12,50,340,2.4,2.9,1.31,12.12,8.76,999,1020.9,8.0,10.3,999.0,99.0,99.00
2014,01,02,13,50,353,2.7,3.4,1.39,12.90,9.10,999,1020.6,7.9,10.3,999.0,99.0,99.00
2014,01,02,14,50,307,2.4,3.3,1.22,12.12,8.56,999,1020.6,7.9,10.2,999.0,99.0,99.00
2014,01,02,15,50,349,3.1,4.2,1.17,11.43,8.96,999,1020.8,8.5,10.2,999.0,99.0,99.00
2014,01,02,16,50,15,3.9,4.5,0.99,12.90,8.14,999,1021.2,8.5,10.2,999.0,99.0,99.00
2014,01,02,17,50,45,4.0,5.1,1.05,12.12,8.53,999,1021.6,9.5,10.2,999.0,99.0,99.00
2014,01,02,18,50,48,4.1,4.9,1.09,12.90,8.00,999,1021.4,10.9,10.3,999.0,99.0,99.00
2014,01,02,19,50,339,1.8,2.4,1.03,12.12,7.15,999,1020.9,11.0,10.4,999.0,99.0,99.00
2014,01,02,20,50,319,3.0,3.6,1.05,10.81,8.32,999,1020.0,10.4,10.5,999.0,99.0,99.00
2014,01,02,21,50,329,3.7,4.6,1.14,12.12,8.93,999,1019.5,10.6,10.6,999.0,99.0,99.00
2014,01,02,22,50,338,4.2,4.9,1.18,12.12,9.46,999,1019.1,10.7,10.8,999.0,99.0,99.00
2014,01,02,23,50,308,4.2,5.1,1.17,12.12,9.37,999,1019.0,11.0,10.8,999.0,99.0,99.00
2014,01,03,00,50,340,3.5,4.4,1.05,12.12,8.47,999,1018.7,10.5,10.7,999.0,99.0,99.00
2014,01,03,01,50,328,3.0,3.8,1.11,12.12,8.60,999,1018.6,10.5,10.7,999.0,99.0,99.00
2014,01,03,02,50,299,3.0,3.8,1.08,12.12,8.78,999,1018.5,10.5,10.6,999.0,99.0,99.00
2014,01,03,03,50,310,4.8,5.8,1.01,12.12,8.17,999,1018.3,9.8,10.6,999.0,99.0,99.00
2014,01,03,04,50,337,3.5,4.1,1.02,12.12,8.10,999,1018.3,9.6,10.6,999.0,99.0,99.00
2014,01,03,05,50,332,2.8,3.3,1.07,12.12,8.67,999,1018.4,10.1,10.5,999.0,99.0,99.00
2014,01,03,06,50,307,2.4,3.1,1.10,11.43,9.08,999,1018.4,10.3,10.5,999.0,99.0,99.00
2014,01,03,07,50,302,2.4,3.3,1.13,16.00,9.58,999,1018.5,10.5,10.5,999.0,99.0,99.00
2014,01,03,08,50,316,3.2,3.9,1.13,12.12,8.89,999,1018.2,10.4,10.5,999.0,99.0,99.00
2014,01,03,09,50,313,2.9,3.5,1.15,11.43,8.89,999,1018.2,10.4,10.5,999.0,99.0,99.00
2014,01,03,10,50,342,2.7,3.4,1.19,14.81,9.11,999,1018.2,10.5,10.4,999.0,99.0,99.00
2014,01,03,11,50,341,2.4,2.9,1.08,14.81,9.04,999,1017.9,10.3,10.4,999.0,99.0,99.00
2014,01,03,12,50,292,1.9,2.4,1.20,12.12,8.87,999,1017.7,10.5,10.4,999.0,99.0,99.00
2014,01,03,13,50,331,1.4,2.1,1.21,14.81,9.22,999,1017.5,10.5,10.4,999.0,99.0,99.00
2014,01,03,14,50,32,2.0,2.5,1.28,14.81,9.67,999,1017.5,10.3,10.4,999.0,99.0,99.00
2014,01,03,15,50,77,1.8,2.7,1.14,11.43,9.30,999,1017.6,10.0,10.4,999.0,99.0,99.00
2014,01,03,16,50,96,0.8,1.3,1.33,10.81,9.94,999,1018.0,10.6,10.4,999.0,99.0,99.00
2014,01,03,17,50,246,0.6,1.0,1.34,13.79,9.82,999,1018.2,10.8,10.4,999.0,99.0,99.00
2014,01,03,18,50,334,0.8,1.3,1.37,14.81,10.11,999,1017.9,10.9,10.7,999.0,99.0,99.00
2014,01,03,19,50,352,2.7,3.4,1.41,10.81,9.37,999,1016.9,10.7,10.8,999.0,99.0,99.00
2014,01,03,20,50,320,2.7,3.8,1.57,14.81,10.01,999,1016.1,10.9,10.8,999.0,99.0,99.00
2014,01,03,21,50,308,3.5,4.3,1.42,14.81,9.94,999,1015.7,10.9,10.9,999.0,99.0,99.00
2014,01,03,22,50,310,4.7,5.6,1.66,14.81,9.42,999,1015.7,11.2,10.9,999.0,99.0,99.00
2014,01,03,23,50,312,5.9,7.4,1.68,13.79,7.91,999,1015.5,10.4,10.8,999.0,99.0,99.00
2014,01,04,00,50,295,5.6,6.6,1.84,14.81,8.49,999,1015.4,10.8,10.7,999.0,99.0,99.00
2014,01,04,01,50,308,6.4,7.5,1.99,13.79,7.90,999,1015.3,10.9,10.6,999.0,99.0,99.00
2014,01,04,02,50,316,8.9,11.0,2.03,13.79,7.32,999,1014.9,10.7,10.6,999.0,99.0,99.00
2014,01,04,03,50,322,9.0,10.6,2.21,13.79,6.54,999,1014.8,10.3,10.5,999.0,99.0,99.00
2014,01,04,04,50,326,7.8,9.6,2.04,12.12,6.23,999,1015.0,10.0,10.5,999.0,99.0,99.00
2014,01,04,05,50,342,6.4,7.4,2.15,13.79,6.70,999,1015.7,9.8,10.5,999.0,99.0,99.00
2014,01,04,06,50,341,5.6,7.0,1.92,13.79,6.61,999,1016.0,9.8,10.5,999.0,99.0,99.00
2014,01,04,07,50,338,5.3,6.3,2.22,13.79,8.07,999,1015.8,9.9,10.5,999.0,99.0,99.00
2014,01,04,08,50,324,4.8,6.1,2.20,13.79,8.37,999,1015.6,10.2,10.4,999.0,99.0,99.00
2014,01,04,09,50,320,7.3,8.7,2.43,13.79,8.76,999,1015.4,9.8,10.4,999.0,99.0,99.00
2014,01,04,10,50,324,6.2,7.9,2.24,13.79,7.80,999,1015.7,9.9,10.4,999.0,99.0,99.00
2014,01,04,11,50,309,5.1,6.2,2.13,13.79,7.86,999,1015.7,9.7,10.4,999.0,99.0,99.00
2014,01,04,12,50,322,3.1,4.0,2.38,12.90,7.96,999,1015.4,9.2,10.4,999.0,99.0,99.00
2014,01,04,13,50,349,3.0,4.6,2.15,12.90,8.01,999,1015.8,8.4,10.4,999.0,99.0,99.00
2014,01,04,14,50,355,3.3,4.2,2.23,12.90,8.06,999,1016.2,7.7,10.3,999.0,99.0,99.00
