YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2008,01,01,00,00,3,2.0,3.0,2.80,13.79,9.37,302,1023.3,9.9,10.3,999.0,99.0,99.00
2008,01,01,01,00,334,2.6,3.5,2.50,14.81,9.11,296,1023.2,9.6,10.2,999.0,99.0,99.00
2008,01,01,02,00,336,2.6,3.5,2.34,12.90,9.05,300,1022.9,9.4,10.1,999.0,99.0,99.00
2008,01,01,03,00,21,1.3,1.8,2.67,13.79,9.60,302,1023.0,9.5,10.1,999.0,99.0,99.00
2008,01,01,04,00,89,2.9,3.9,2.43,14.81,9.47,305,1023.0,9.5,10.1,999.0,99.0,99.00
2008,01,01,05,00,109,6.6,8.5,2.41,14.81,9.76,303,1022.9,10.1,10.0,999.0,99.0,99.00
2008,01,01,06,00,98,6.1,8.0,2.39,12.90,9.05,306,1022.9,9.8,10.0,999.0,99.0,99.00
2008,01,01,07,00,103,6.1,7.8,2.35,14.81,9.28,305,1022.9,9.8,10.0,999.0,99.0,99.00
2008,01,01,08,00,105,6.4,8.0,2.23,12.12,8.69,305,1022.6,9.6,10.0,999.0,99.0,99.00
2008,01,01,09,00,91,6.1,8.1,2.07,12.12,8.75,317,1022.5,9.7,10.0,999.0,99.0,99.00
2008,01,01,10,00,68,4.6,5.9,2.20,12.90,8.06,311,1022.9,9.3,10.0,999.0,99.0,99.00
2008,01,01,11,00,75,5.6,6.6,2.10,12.12,7.89,300,1022.9,9.1,10.0,999.0,99.0,99.00
2008,01,01,12,00,78,7.0,8.6,1.89,12.12,7.42,305,1022.3,9.3,10.0,999.0,99.0,99.00
2008,01,01,13,00,83,9.1,10.9,1.87,12.12,6.59,302,1021.7,9.1,9.9,999.0,99.0,99.00
2008,01,01,14,00,89,9.8,11.7,1.79,10.81,5.53,309,1021.5,9.5,10.0,999.0,99.0,99.00
2008,01,01,15,00,97,11.5,13.7,1.82,13.79,5.62,306,1021.6,10.1,10.0,999.0,99.0,99.00
2008,01,01,16,00,91,11.0,13.6,1.82,12.90,5.09,308,1021.9,10.1,10.0,999.0,99.0,99.00
2008,01,01,17,00,89,11.3,13.8,1.66,12.90,4.97,319,1022.2,10.0,10.0,999.0,99.0,99.00
2008,01,01,18,00,89,10.5,12.6,1.62,12.90,4.79,308,1022.7,10.3,10.0,999.0,99.0,99.00
