YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2007,01,01,00,00,295,3.8,5.8,3.02,13.79,10.60,999,1025.7,10.8,11.5,999.0,99.0,99.00
2007,01,01,01,00,311,3.5,4.9,3.05,12.90,10.44,999,1025.9,10.8,11.5,999.0,99.0,99.00
2007,01,01,02,00,329,4.0,4.9,2.63,12.12,10.00,999,1025.9,10.8,11.5,999.0,99.0,99.00
2007,01,01,03,00,316,4.7,6.0,3.33,12.90,10.73,999,1026.0,10.7,11.4,999.0,99.0,99.00
2007,01,01,04,00,325,4.5,5.8,3.52,12.90,10.55,999,1026.0,10.8,11.4,999.0,99.0,99.00
2007,01,01,05,00,322,4.2,5.6,3.23,12.12,10.03,999,1025.8,10.8,11.4,999.0,99.0,99.00
2007,01,01,06,00,326,4.8,6.4,3.03,12.90,9.89,999,1026.1,10.8,11.4,999.0,99.0,99.00
2007,01,01,07,00,319,5.1,6.5,3.04,12.12,9.79,999,1026.2,10.9,11.4,999.0,99.0,99.00
2007,01,01,08,00,321,5.4,6.8,2.92,12.12,9.26,999,1026.0,10.8,11.5,999.0,99.0,99.00
2007,01,01,09,00,319,5.3,6.4,2.44,13.79,8.64,999,1026.0,10.7,11.5,999.0,99.0,99.00
2007,01,01,10,00,317,5.1,6.4,2.33,13.79,8.39,999,1026.2,10.8,11.4,999.0,99.0,99.00
2007,01,01,11,00,313,6.2,7.4,99.00,99.00,99.00,999,1026.5,10.9,11.4,999.0,99.0,99.00
2007,01,01,12,00,323,7.3,8.9,2.29,12.90,7.58,999,1026.0,10.7,11.4,999.0,99.0,99.00
2007,01,01,13,00,318,8.0,9.8,2.06,12.90,6.96,999,1025.5,10.7,11.5,999.0,99.0,99.00
2007,01,01,14,00,323,9.1,11.3,2.20,12.90,6.67,999,1025.6,10.8,11.5,999.0,99.0,99.00
2007,01,01,15,00,323,9.5,11.4,2.13,12.90,6.37,999,1025.8,10.7,11.6,999.0,99.0,99.00
2007,01,01,16,00,318,10.2,12.0,2.13,12.90,6.24,999,1025.2,10.6,11.6,999.0,99.0,99.00
2007,01,01,17,00,334,9.0,10.5,2.28,12.12,6.22,999,1025.9,10.7,11.6,999.0,99.0,99.00
2007,01,01,18,00,323,9.6,11.6,1.97,11.43,5.82,999,1026.0,11.0,11.6,999.0,99.0,99.00
2007,01,01,19,00,317,8.0,9.9,2.02,12.12,5.73,999,1025.2,11.2,11.6,999.0,99.0,99.00
2007,01,01,20,00,321,7.3,8.8,1.96,12.12,6.24,999,1024.6,11.4,11.6,999.0,99.0,99.00
2007,01,01,21,00,315,8.9,10.9,2.21,12.90,6.26,999,1023.6,11.4,11.5,999.0,99.0,99.00
2007,01,01,22,00,311,7.1,8.7,2.03,11.43,6.32,999,1023.0,11.7,11.5,999.0,99.0,99.00
2007,01,01,23,00,313,8.5,10.0,2.20,11.43,6.77,999,1022.8,12.0,11.5,999.0,99.0,99.00
2007,01,02,00,00,314,9.7,12.1,2.20,11.43,6.29,999,1023.2,12.0,11.5,999.0,99.0,99.00
2007,01,02,01,00,308,9.1,11.0,2.27,10.81,6.35,999,1023.0,12.1,11.5,999.0,99.0,99.00
2007,01,02,02,00,314,10.0,11.5,2.16,11.43,6.44,999,1023.0,12.3,11.5,999.0,99.0,99.00
2007,01,02,03,00,315,10.7,12.4,2.20,11.43,5.64,999,1022.9,12.2,11.5,999.0,99.0,99.00
2007,01,02,04,00,320,12.3,14.3,2.38,12.12,5.78,999,1022.8,13.0,11.4,999.0,99.0,99.00
2007,01,02,06,00,318,9.5,11.0,2.34,11.43,5.65,999,1022.9,12.1,11.5,999.0,99.0,99.00
2007,01,02,07,00,309,9.7,11.6,2.16,12.90,5.77,999,1022.2,12.1,11.4,999.0,99.0,99.00
2007,01,02,08,00,308,11.6,13.6,2.04,12.90,5.74,999,1022.3,12.2,11.4,999.0,99.0,99.00
