YY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2005,01,03,04,00,37,6.9,8.4,2.73,12.90,8.08,999,1008.7,8.2,12.3,999.0,99.0,99.00
2005,01,03,05,00,47,6.1,7.8,2.54,12.90,7.76,999,1008.7,8.1,12.3,999.0,99.0,99.00
2005,01,03,06,00,76,8.5,10.3,2.33,12.12,6.77,999,1008.5,8.6,12.3,999.0,99.0,99.00
2005,01,03,07,00,100,7.5,9.6,2.72,12.12,7.88,999,1008.8,8.8,12.4,999.0,99.0,99.00
2005,01,03,08,00,96,9.0,10.8,2.16,12.12,6.72,999,1008.8,9.0,12.3,999.0,99.0,99.00
2005,01,03,09,00,151,7.9,10.6,2.52,12.90,7.28,999,1008.5,9.4,12.4,999.0,99.0,99.00
2005,01,03,10,00,187,6.7,8.7,2.23,12.12,7.10,999,1008.4,9.0,12.4,999.0,99.0,99.00
2005,01,03,11,00,168,4.6,6.2,2.26,12.12,7.45,999,1009.1,8.6,12.4,999.0,99.0,99.00
2005,01,03,12,00,146,6.6,9.4,2.73,10.81,8.16,999,1009.1,9.1,12.4,999.0,99.0,99.00
2005,01,03,13,00,161,7.1,8.7,2.50,12.12,8.23,999,1009.2,9.2,12.4,999.0,99.0,99.00
2005,01,03,14,00,173,6.7,8.1,2.65,11.43,8.28,999,1009.4,9.3,12.4,999.0,99.0,99.00
2005,01,03,15,00,168,5.8,7.1,2.59,11.43,8.31,999,1010.1,9.1,12.4,999.0,99.0,99.00
2005,01,03,16,00,146,4.7,6.6,2.47,10.81,8.47,999,1010.5,9.3,12.5,999.0,99.0,99.00
2005,01,03,17,00,88,7.3,9.1,2.43,21.05,8.19,999,1010.9,9.3,12.6,999.0,99.0,99.00
2005,01,03,18,00,99,5.5,7.4,2.28,10.81,8.09,999,1011.5,9.5,12.6,999.0,99.0,99.00
2005,01,03,19,00,97,6.2,7.6,2.35,11.43,8.29,999,1011.4,9.4,12.7,999.0,99.0,99.00
2005,01,03,20,00,96,4.3,5.6,2.18,10.81,8.24,999,1010.5,9.7,12.7,999.0,99.0,99.00
2005,01,03,21,00,86,3.6,5.1,2.00,10.00,8.11,999,1009.9,9.8,12.8,999.0,99.0,99.00
2005,01,03,22,00,90,3.0,4.4,1.99,10.00,8.50,999,1009.5,10.4,12.8,999.0,99.0,99.00
2005,01,03,23,00,77,1.0,2.1,2.36,19.05,9.51,999,1009.4,10.5,12.9,999.0,99.0,99.00
2005,01,04,00,00,75,4.0,5.5,2.16,10.81,8.60,999,1009.4,10.0,12.8,999.0,99.0,99.00
2005,01,04,01,00,76,1.9,3.1,2.55,10.00,9.09,999,1009.6,8.9,12.6,999.0,99.0,99.00
2005,01,04,02,00,284,4.0,5.4,2.83,19.05,9.79,999,1009.5,9.5,12.5,999.0,99.0,99.00
2005,01,04,03,00,301,2.7,4.4,2.65,10.00,8.88,999,1009.7,10.0,12.4,999.0,99.0,99.00
2005,01,04,04,00,9,4.2,5.2,2.69,19.05,9.10,999,1009.9,10.1,12.4,999.0,99.0,99.00
2005,01,04,05,00,354,2.6,3.9,2.72,19.05,8.71,999,1010.0,9.8,12.4,999.0,99.0,99.00
2005,01,04,06,00,324,3.5,5.0,2.91,19.05,9.31,999,1010.0,9.8,12.4,999.0,99.0,99.00
2005,01,04,07,00,294,3.5,4.9,2.61,19.05,9.11,999,1009.9,9.6,12.4,999.0,99.0,99.00
2005,01,04,08,00,274,4.6,6.0,2.40,17.39,8.61,999,1009.6,10.0,12.4,999.0,99.0,99.00
2005,01,04,09,00,269,6.6,8.3,2.53,17.39,9.13,999,1008.7,10.5,12.5,999.0,99.0,99.00
2005,01,04,10,00,279,6.4,8.1,2.32,17.39,8.28,999,1008.5,10.8,12.5,999.0,99.0,99.00
2005,01,04,11,00,282,5.5,7.0,2.14,17.39,7.74,999,1008.6,11.1,12.5,999.0,99.0,99.00
2005,01,04,12,00,295,5.1,6.2,2.32,17.39,8.57,999,1008.1,11.3,12.5,999.0,99.0,99.00
2005,01,04,13,00,299,4.9,6.2,2.43,17.39,8.77,999,1008.0,11.2,12.5,999.0,99.0,99.00
2005,01,04,14,00,302,4.1,5.3,2.36,17.39,8.32,999,1008.2,11.1,12.5,999.0,99.0,99.00
2005,01,04,15,00,299,4.0,5.2,2.36,17.39,8.94,999,1008.4,11.0,12.4,999.0,99.0,99.00
2005,01,04,16,00,83,3.2,4.3,2.26,16.00,8.61,999,1008.8,10.0,12.5,999.0,99.0,99.00
2005,01,04,17,00,116,2.4,3.2,2.22,17.39,8.42,999,1009.5,10.3,12.6,999.0,99.0,99.00
2005,01,04,18,00,99,3.8,4.8,2.05,17.39,8.54,999,1010.5,9.4,12.5,999.0,99.0,99.00
2005,01,04,19,00,85,3.9,5.2,2.51,16.00,8.94,999,1010.8,9.7,12.6,999.0,99.0,99.00
2005,01,04,20,00,97,3.4,4.5,1.91,10.00,7.15,999,1010.7,9.8,12.6,999.0,99.0,99.00
2005,01,04,21,00,130,2.1,3.2,2.08,17.39,7.58,999,1010.4,10.6,12.6,999.0,99.0,99.00
2005,01,04,22,00,114,1.1,2.9,2.03,17.39,8.04,999,1010.3,11.0,12.7,999.0,99.0,99.00
2005,01,04,23,00,158,1.2,2.3,2.28,16.00,8.44,999,1010.6,11.2,12.6,999.0,99.0,99.00
2005,01,05,00,00,227,1.5,2.0,2.36,17.39,8.17,999,1011.2,11.4,12.7,999.0,99.0,99.00
2005,01,05,01,00,192,1.3,1.9,2.27,17.39,7.99,999,1011.5,11.3,12.8,999.0,99.0,99.00
2005,01,05,02,00,132,1.5,2.7,2.51,16.00,8.47,999,1012.2,11.0,12.7,999.0,99.0,99.00
2005,01,05,03,00,157,2.8,4.1,2.62,17.39,8.29,999,1012.9,11.1,12.7,999.0,99.0,99.00
2005,01,05,04,00,339,3.9,5.2,2.49,16.00,7.83,999,1013.7,10.4,12.7,999.0,99.0,99.00
2005,01,05,05,00,30,1.4,1.9,2.51,16.00,8.45,999,1014.5,10.5,12.6,999.0,99.0,99.00
2005,01,05,06,00,11,1.1,2.2,2.41,16.00,8.30,999,1015.2,10.5,12.6,999.0,99.0,99.00
2005,01,05,07,00,22,1.8,2.5,2.32,16.00,8.44,999,1016.1,10.6,12.6,999.0,99.0,99.00
2005,01,05,08,00,73,2.6,3.9,2.09,14.81,7.73,999,1016.6,10.3,12.7,999.0,99.0,99.00
2005,01,05,09,00,75,2.3,3.6,2.37,17.39,8.86,999,1016.7,10.4,12.7,999.0,99.0,99.00
2005,01,05,10,00,70,4.3,5.7,2.11,16.00,8.49,999,1017.2,10.5,12.7,999.0,99.0,99.00
2005,01,05,11,00,77,3.7,4.5,1.95,16.00,8.27,999,1017.9,10.6,12.6,999.0,99.0,99.00
2005,01,05,12,00,83,4.2,5.2,2.11,16.00,8.24,999,1018.2,10.7,12.6,999.0,99.0,99.00
2005,01,05,13,00,89,6.2,7.4,1.84,14.81,7.53,999,1018.6,10.4,12.6,999.0,99.0,99.00
2005,01,05,14,00,116,5.8,7.1,1.76,14.81,6.59,999,1019.2,10.7,12.6,999.0,99.0,99.00
2005,01,05,15,00,129,5.1,7.0,1.99,14.81,7.27,999,1020.1,11.0,12.5,999.0,99.0,99.00
2005,01,05,16,00,131,4.0,5.1,1.96,8.33,6.75,999,1021.0,10.3,12.5,999.0,99.0,99.00
2005,01,05,17,00,118,4.7,5.8,1.99,14.81,7.16,999,1021.8,10.8,12.5,999.0,99.0,99.00
2005,01,05,18,00,99,6.0,7.2,2.02,14.81,7.36,999,1022.7,10.2,12.5,999.0,99.0,99.00
2005,01,05,19,00,96,5.8,6.9,2.03,14.81,7.61,999,1022.9,10.2,12.6,999.0,99.0,99.00
2005,01,05,20,00,101,5.8,7.3,1.95,14.81,7.65,999,1022.8,10.1,12.6,999.0,99.0,99.00
2005,01,05,21,00,101,5.0,6.4,1.72,14.81,7.09,999,1022.3,10.5,12.7,999.0,99.0,99.00
2005,01,05,22,00,120,5.0,6.2,1.66,14.81,7.08,999,1021.8,10.9,12.7,999.0,99.0,99.00
2005,01,05,23,00,118,4.0,5.1,1.77,14.81,7.56,999,1022.1,11.0,12.9,999.0,99.0,99.00
2005,01,06,00,00,124,4.3,5.2,1.70,14.81,7.68,999,1021.9,11.2,13.1,999.0,99.0,99.00
2005,01,06,01,00,93,4.6,6.0,1.61,14.81,7.96,999,1022.0,11.1,13.1,999.0,99.0,99.00
2005,01,06,02,00,94,4.9,6.1,1.85,14.81,8.36,999,1022.1,10.9,13.1,999.0,99.0,99.00
2005,01,06,03,00,82,6.0,7.1,1.62,13.79,7.25,999,1022.6,10.5,13.1,999.0,99.0,99.00
2005,01,06,04,00,96,6.8,8.1,1.52,13.79,6.83,999,1023.0,10.1,13.1,999.0,99.0,99.00
2005,01,06,05,00,69,5.5,6.2,1.54,14.81,7.15,999,1023.5,9.7,13.1,999.0,99.0,99.00
2005,01,06,06,00,82,5.8,6.9,1.60,13.79,7.41,999,1023.6,9.9,13.1,999.0,99.0,99.00
2005,01,06,07,00,85,6.1,7.1,1.44,12.90,6.44,999,1023.6,9.6,13.1,999.0,99.0,99.00
2005,01,06,08,00,98,6.1,7.3,1.85,17.39,7.81,999,1023.1,9.6,13.1,999.0,99.0,99.00
2005,01,06,09,00,89,6.1,7.1,1.69,17.39,7.45,999,1022.8,9.7,13.1,999.0,99.0,99.00
2005,01,06,10,00,85,7.1,8.6,1.40,13.79,6.53,999,1022.2,9.5,13.1,999.0,99.0,99.00
2005,01,06,11,00,91,7.0,8.1,1.51,13.79,6.30,999,1022.3,9.3,13.1,999.0,99.0,99.00
2005,01,06,12,00,90,6.6,7.9,1.53,13.79,6.48,999,1022.0,8.6,13.1,999.0,99.0,99.00
2005,01,06,13,00,84,6.9,8.3,1.48,16.00,6.18,999,1021.3,8.6,13.1,999.0,99.0,99.00
2005,01,06,14,00,86,7.2,8.6,1.43,16.00,6.20,999,1020.7,8.8,13.1,999.0,99.0,99.00
2005,01,06,15,00,90,7.1,8.5,1.52,16.00,6.48,999,1020.5,8.5,13.1,999.0,99.0,99.00
2005,01,06,16,00,87,6.7,8.3,1.50,14.81,6.47,999,1020.2,8.3,13.1,999.0,99.0,99.00
2005,01,06,17,00,87,7.3,8.6,1.44,16.00,6.56,999,1019.7,8.6,13.1,999.0,99.0,99.00
2005,01,06,18,00,84,7.2,8.5,1.64,14.81,7.01,999,1019.8,8.6,13.1,999.0,99.0,99.00
2005,01,06,19,00,104,6.2,7.4,1.44,14.81,6.45,999,1019.7,8.6,13.1,999.0,99.0,99.00
2005,01,06,20,00,92,5.0,5.9,1.58,16.00,7.50,999,1018.8,8.9,13.2,999.0,99.0,99.00
2005,01,06,21,00,94,3.8,5.1,1.39,14.81,7.34,999,1017.5,9.7,13.2,999.0,99.0,99.00
2005,01,06,22,00,109,3.6,5.0,1.42,14.81,7.81,999,1016.2,10.1,13.3,999.0,99.0,99.00
2005,01,06,23,00,101,4.3,5.6,1.33,14.81,7.44,999,1015.2,10.4,13.3,999.0,99.0,99.00
