YY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,01,01,00,00,241,5.1,6.9,4.78,12.90,8.34,999,1008.5,13.5,12.9,999.0,99.0,99.00
2006,01,01,01,00,235,5.2,7.0,4.76,11.43,8.42,999,1009.5,13.4,12.9,999.0,99.0,99.00
2006,01,01,02,00,234,3.9,5.4,5.22,12.90,8.98,999,1010.2,13.3,12.9,999.0,99.0,99.00
2006,01,01,03,00,240,6.7,8.6,4.45,12.12,8.57,999,1010.0,13.3,12.8,999.0,99.0,99.00
2006,01,01,04,00,220,4.7,6.4,4.22,12.90,8.54,999,1010.7,13.3,12.8,999.0,99.0,99.00
2006,01,01,05,00,183,4.7,5.8,3.89,10.00,8.37,999,1010.9,13.2,12.8,999.0,99.0,99.00
2006,01,01,06,00,170,6.3,7.8,4.12,13.79,8.84,999,1011.0,13.1,12.9,999.0,99.0,99.00
2006,01,01,07,00,165,6.8,8.5,4.18,11.43,8.81,999,1011.3,13.1,12.9,999.0,99.0,99.00
2006,01,01,08,00,154,6.9,8.9,3.98,12.12,8.54,999,1011.3,13.1,12.9,999.0,99.0,99.00
2006,01,01,09,00,144,8.6,10.8,3.75,12.12,8.30,999,1010.6,13.0,13.0,999.0,99.0,99.00
2006,01,01,10,00,139,10.2,12.9,4.05,12.90,8.27,999,1009.8,12.9,13.0,999.0,99.0,99.00
2006,01,01,11,00,133,10.4,13.0,3.88,12.90,7.93,999,1009.1,12.8,12.9,999.0,99.0,99.00
2006,01,01,12,00,132,12.2,15.8,4.02,12.12,7.67,999,1008.0,12.5,12.9,999.0,99.0,99.00
2006,01,01,13,00,131,12.1,15.8,3.96,12.90,7.55,999,1005.9,12.4,12.9,999.0,99.0,99.00
2006,01,01,14,00,138,13.1,15.6,4.21,11.43,7.72,999,1005.5,12.9,12.9,999.0,99.0,99.00
2006,01,01,15,00,142,14.1,17.9,3.65,12.12,7.01,999,1004.4,12.9,12.9,999.0,99.0,99.00
2006,01,01,16,00,142,15.2,18.0,3.75,12.12,6.66,999,1001.6,13.1,12.9,999.0,99.0,99.00
2006,01,01,17,00,147,15.9,20.0,4.24,12.90,6.85,999,1001.3,12.8,12.8,999.0,99.0,99.00
2006,01,01,18,00,157,15.1,18.7,4.39,12.12,6.98,999,1001.2,13.0,12.8,999.0,99.0,99.00
2006,01,01,19,00,164,16.1,19.9,4.68,12.12,7.15,999,1000.1,13.0,12.8,999.0,99.0,99.00
2006,01,01,20,00,166,16.6,21.2,5.74,8.33,7.57,999,999.0,13.2,12.8,999.0,99.0,99.00
2006,01,01,21,00,164,14.0,17.2,5.66,8.33,7.60,999,998.5,13.0,12.9,999.0,99.0,99.00
2006,01,01,22,00,227,10.0,14.1,5.32,9.09,7.65,999,1000.0,12.7,13.0,999.0,99.0,99.00
2006,01,01,23,00,204,6.7,8.1,5.24,9.09,8.21,999,1000.7,12.8,13.0,999.0,99.0,99.00
2006,01,02,00,00,179,6.9,9.2,5.33,12.90,8.50,999,1000.9,12.5,13.1,999.0,99.0,99.00
2006,01,02,01,00,158,6.9,9.0,5.61,10.00,8.97,999,1001.3,12.5,13.1,999.0,99.0,99.00
2006,01,02,02,00,150,5.4,7.2,5.04,10.00,8.85,999,1001.1,12.4,13.1,999.0,99.0,99.00
2006,01,02,03,00,159,6.4,8.3,4.85,13.79,8.77,999,1001.4,12.6,13.2,999.0,99.0,99.00
2006,01,02,04,00,165,5.6,7.5,4.77,12.90,9.24,999,1001.3,12.6,13.2,999.0,99.0,99.00
2006,01,02,05,00,177,6.1,8.0,5.69,13.79,9.75,999,1001.9,12.8,13.1,999.0,99.0,99.00
2006,01,02,06,00,187,6.9,9.2,5.35,13.79,9.49,999,1002.4,12.9,13.1,999.0,99.0,99.00
2006,01,02,07,00,200,5.2,6.7,5.24,14.81,9.65,999,1002.5,13.1,13.1,999.0,99.0,99.00
2006,01,02,08,00,193,4.7,6.4,5.74,13.79,10.41,999,1002.7,13.3,13.1,999.0,99.0,99.00
2006,01,02,09,00,167,3.0,4.7,5.01,13.79,9.91,999,1002.0,13.1,13.1,999.0,99.0,99.00
2006,01,02,10,00,147,2.8,4.6,5.15,13.79,9.69,999,1001.8,12.8,12.9,999.0,99.0,99.00
2006,01,02,11,00,140,1.4,2.9,5.27,12.90,9.87,999,1001.8,12.8,12.9,999.0,99.0,99.00
2006,01,02,12,00,131,4.3,7.0,5.62,13.79,9.94,999,1001.4,12.4,12.9,999.0,99.0,99.00
2006,01,02,13,00,116,2.8,5.8,5.22,14.81,10.05,999,1000.8,12.4,12.9,999.0,99.0,99.00
2006,01,02,14,00,70,4.6,7.2,4.53,14.81,9.44,999,1001.1,12.3,12.9,999.0,99.0,99.00
2006,01,02,15,00,51,5.5,7.5,4.59,13.79,9.37,999,1000.6,12.1,12.9,999.0,99.0,99.00
2006,01,02,16,00,48,4.8,6.8,4.89,14.81,10.07,999,1000.6,12.2,12.9,999.0,99.0,99.00
2006,01,02,17,00,31,5.0,6.9,4.54,14.81,9.71,999,1000.7,12.2,12.9,999.0,99.0,99.00
2006,01,02,18,00,357,3.1,4.2,4.40,13.79,9.60,999,1001.9,12.1,12.9,999.0,99.0,99.00
2006,01,02,19,00,334,5.9,7.8,4.92,13.79,10.44,999,1002.4,12.5,12.9,999.0,99.0,99.00
2006,01,02,20,00,321,8.4,10.3,4.55,16.00,10.01,999,1002.3,12.8,12.9,999.0,99.0,99.00
2006,01,02,21,00,313,6.1,8.3,4.54,13.79,10.46,999,1002.3,12.7,12.9,999.0,99.0,99.00
