YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2014,12,31,23,50,297,2.3,3.2,0.94,12.90,5.55,999,1019.6,12.9,13.7,999.0,99.0,99.00
2015,01,01,00,50,326,5.9,7.2,0.93,12.90,5.55,999,1019.1,13.0,13.7,999.0,99.0,99.00
2015,01,01,01,50,343,7.3,8.6,1.08,12.90,4.81,999,1018.7,13.1,13.5,999.0,99.0,99.00
2015,01,01,02,50,328,8.2,9.6,1.30,12.12,5.07,999,1018.2,12.9,13.5,999.0,99.0,99.00
2015,01,01,03,50,333,6.3,7.6,1.28,5.56,4.83,999,1018.2,12.8,13.4,999.0,99.0,99.00
2015,01,01,04,50,358,4.5,5.4,1.26,12.90,5.10,999,1018.3,12.4,13.2,999.0,99.0,99.00
2015,01,01,05,50,20,2.5,3.1,1.23,12.90,5.13,999,1018.1,12.0,13.0,999.0,99.0,99.00
2015,01,01,06,50,332,1.1,1.8,1.28,7.69,5.40,999,1018.3,11.8,12.8,999.0,99.0,99.00
2015,01,01,07,50,318,3.7,4.4,1.31,8.33,5.69,999,1018.2,12.0,12.8,999.0,99.0,99.00
2015,01,01,08,50,309,1.8,2.4,1.31,12.90,6.19,999,1018.1,12.0,13.0,999.0,99.0,99.00
2015,01,01,09,50,49,0.3,0.7,1.37,7.69,6.14,999,1018.1,11.8,13.0,999.0,99.0,99.00
2015,01,01,10,50,180,0.1,0.6,1.34,9.09,6.23,999,1018.2,12.0,12.9,999.0,99.0,99.00
2015,01,01,11,50,149,1.8,2.4,1.28,8.33,6.46,999,1017.8,12.0,12.8,999.0,99.0,99.00
2015,01,01,12,50,130,2.2,3.1,1.34,12.12,6.55,999,1017.9,11.7,12.9,999.0,99.0,99.00
2015,01,01,13,50,131,1.4,2.7,1.36,9.09,6.47,999,1017.8,11.9,13.0,999.0,99.0,99.00
2015,01,01,14,50,148,5.2,6.5,1.37,10.00,6.40,999,1018.4,12.1,13.0,999.0,99.0,99.00
2015,01,01,15,50,133,5.1,6.3,1.34,9.09,6.40,999,1019.0,11.6,13.1,999.0,99.0,99.00
2015,01,01,16,50,97,4.6,5.6,1.37,10.00,6.36,999,1019.9,9.7,13.1,999.0,99.0,99.00
2015,01,01,17,50,97,4.8,5.6,1.36,9.09,6.42,999,1020.5,9.7,13.2,999.0,99.0,99.00
2015,01,01,18,50,88,5.7,7.0,1.23,7.69,5.79,999,1020.9,9.6,13.4,999.0,99.0,99.00
2015,01,01,19,50,101,4.4,5.2,1.15,12.12,5.80,999,1020.1,10.1,13.5,999.0,99.0,99.00
2015,01,01,20,50,101,3.8,4.7,1.08,11.43,5.95,999,1019.4,10.7,13.7,999.0,99.0,99.00
2015,01,01,21,50,153,2.7,3.7,1.09,9.09,6.45,999,1019.0,11.6,13.8,999.0,99.0,99.00
2015,01,01,22,50,171,2.8,3.8,1.18,10.00,6.64,999,1019.6,12.0,13.9,999.0,99.0,99.00
2015,01,01,23,50,180,3.0,4.6,1.05,13.79,6.40,999,1020.1,12.1,13.9,999.0,99.0,99.00
2015,01,02,00,50,191,3.1,4.0,1.02,11.43,6.46,999,1020.4,12.1,13.8,999.0,99.0,99.00
2015,01,02,01,50,181,2.4,3.3,0.98,12.90,6.38,999,1020.5,12.1,13.7,999.0,99.0,99.00
2015,01,02,02,50,182,1.9,2.4,0.95,12.12,6.42,999,1020.6,12.2,13.6,999.0,99.0,99.00
2015,01,02,03,50,178,2.3,3.2,1.11,13.79,6.85,999,1020.5,12.2,13.5,999.0,99.0,99.00
2015,01,02,04,50,196,1.8,2.4,1.00,12.90,6.54,999,1020.6,12.3,13.5,999.0,99.0,99.00
2015,01,02,05,50,89,4.2,5.3,1.03,13.79,6.69,999,1020.6,11.0,13.5,999.0,99.0,99.00
2015,01,02,06,50,86,5.5,6.3,1.14,13.79,7.17,999,1020.9,10.4,13.6,999.0,99.0,99.00
2015,01,02,07,50,83,5.5,6.4,1.17,12.90,6.77,999,1021.2,10.2,13.6,999.0,99.0,99.00
